quarter;data;instytucja;fundusz;DATA_fundusz;typ_aktywa;emitent;isin;waluta;liczba_sztuk;wartosc_pln;TYP_aktywo_std;emitent_short_name;fund_total_pln;fund_pct;liczba_sztuk_chg;liczba_sztuk_chg_pct;wartosc_pln_chg;wartosc_pln_chg_pct;Cena_PLN ;Ilosc_szt;shares_out;market_cap;kraj_emitenta;domestic_foreign 
4Q25;2025-12-30;PFR TFI S.A.;PFR PPK 2025- PORTFEL;2025;Akcje;AB S.A.;PLAB00000019;PLN;107;11534.6;akcje;AB SA;37374433.05;0.000308623;60;1.276595745;11534.6;;107.8;107;16164740;1742558972;PL;domestic
4Q25;2025-12-30;PFR TFI S.A.;PFR PPK 2025- PORTFEL;2025;Akcje;ALIOR BANK S.A.;PLALIOR00045;PLN;780;86151;akcje;Alior Bank SA;37374433.05;0.002305078;504;1.826086957;86151;;110.45;780;130553991;14419688306;PL;domestic
4Q25;2025-12-30;PFR TFI S.A.;PFR PPK 2025- PORTFEL;2025;Akcje;Allegro.eu société anonyme;LU2237380790;PLN;4928;152866.56;akcje;Allegro.eu SA;37374433.05;0.004090137;2806;1.322337418;152866.56;;31.02;4928;1056904853;32785188540;PL;domestic
4Q25;2025-12-30;PFR TFI S.A.;PFR PPK 2025- PORTFEL;2025;Akcje;AMAZON.COM INC.;US0231351067;USD;35;29246.69;akcje;Amazon.com Inc;37374433.05;0.000782532;35;;29246.69;;841;34.77608799;10687000000;8.98777E+12;US;foreign
4Q25;2025-12-30;PFR TFI S.A.;PFR PPK 2025- PORTFEL;2025;Akcje;ASSECO POLAND S.A.;PLSOFTB00016;PLN;328;74915.2;akcje;Asseco Poland SA;37374433.05;0.00200445;106;0.477477477;74915.2;;228.4;328;53382559;12192576476;PL;domestic
4Q25;2025-12-30;PFR TFI S.A.;PFR PPK 2025- PORTFEL;2025;Akcje;ASSECO SOUTH EASTERN EUROPE S.A.;PLASSEE00014;PLN;155;9765;akcje;Asseco South Eastern Europe S;37374433.05;0.000261275;-113;-0.421641791;9765;;63;155;51894251;3269337813;PL;domestic
4Q25;2025-12-30;PFR TFI S.A.;PFR PPK 2025- PORTFEL;2025;Akcje;BARRICK MINING CORP;CA06849F1080;CAD;241;38348.27;akcje;Barrick Mining Corp;37374433.05;0.001026056;241;;38348.27;;158.9183107;241.3080647;1687434000;2.68164E+11;CA;foreign
4Q25;2025-12-30;PFR TFI S.A.;PFR PPK 2025- PORTFEL;2025;Akcje;BENEFIT SYSTEMS S.A.;PLBNFTS00018;PLN;27;94770;akcje;Benefit Systems SA;37374433.05;0.002535691;16;1.454545455;94770;;3510;27;3275742;11497854420;PL;domestic
4Q25;2025-12-30;PFR TFI S.A.;PFR PPK 2025- PORTFEL;2025;Akcje;BUDIMEX S.A.;PLBUDMX00013;PLN;76;48472.8;akcje;Budimex SA;37374433.05;0.001296951;67;7.444444444;48472.8;;637.8;76;25530098;16283096504;PL;domestic
4Q25;2025-12-30;PFR TFI S.A.;PFR PPK 2025- PORTFEL;2025;Akcje;CAPTOR THERAPEUTICS S.A.;PLCPTRT00014;PLN;492;35424;akcje;Captor Therapeutics SA;37374433.05;0.000947814;492;;35424;;72;492;5528709;398067048;PL;domestic
