instytucja;quarter;wartosc_knf;wartosc_master;pokrycie_pct;roznica_pln
Allianz Polska TFI S.A.;4Q23;1958020809.00;673217007.67;34.38;-1284803801.33
Allianz Polska TFI S.A.;4Q24;2702386031.00;2797674919.02;103.53;95288888.02
Allianz Polska TFI S.A.;4Q25;3977559942.00;3996137417.66;100.47;18577475.66
BNP Paribas TFI S.A.;4Q23;295343344.70;286859633.15;97.13;-8483711.55
BNP Paribas TFI S.A.;4Q24;397274198.90;383313275.33;96.49;-13960923.57
BNP Paribas TFI S.A.;4Q25;576979609.10;576500004.96;99.92;-479604.14
Esaliens TFI S.A.;4Q23;299700361.70;230787829.24;77.01;-68912532.46
Esaliens TFI S.A.;4Q24;410685812.70;411264929.48;100.14;579116.78
Esaliens TFI S.A.;4Q25;631762150.60;633274177.46;100.24;1512026.86
Generali Investments TFI S.A.;4Q23;395562453.30;374534139.88;94.68;-21028313.42
Generali Investments TFI S.A.;4Q24;543541319.40;526802758.59;96.92;-16738560.81
Generali Investments TFI S.A.;4Q25;825152032.20;814700701.34;98.73;-10451330.86
Goldman Sachs TFI S.A.;4Q23;1437196735.00;1280847801.82;89.12;-156348933.18
Goldman Sachs TFI S.A.;4Q24;2046181857.00;1804346362.45;88.18;-241835494.55
Goldman Sachs TFI S.A.;4Q25;3129793938.00;2873031523.77;91.80;-256762414.23
Investors TFI S.A.;4Q23;518182301.80;501584394.60;96.80;-16597907.20
Investors TFI S.A.;4Q24;715025359.20;663934248.75;92.85;-51091110.45
Investors TFI S.A.;4Q25;1073109734.00;1053127231.22;98.14;-19982502.78
MILLENNIUM TFI S.A.;4Q23;167761242.00;163765785.65;97.62;-3995456.35
MILLENNIUM TFI S.A.;4Q24;236694869.10;231531304.06;97.82;-5163565.04
MILLENNIUM TFI S.A.;4Q25;323739174.80;320010362.89;98.85;-3728811.91
Nationale-Nederlanden PTE S.A.;4Q23;2286870325.00;4565827052.79;199.65;2278956727.79
Nationale-Nederlanden PTE S.A.;4Q24;3105833228.00;3307371132.13;106.49;201537904.13
Nationale-Nederlanden PTE S.A.;4Q25;4417504679.00;4565827052.79;103.36;148322373.79
PFR TFI S.A.;4Q23;103473013.00;102931015.00;99.48;-541998.00
PFR TFI S.A.;4Q24;149596051.00;149702554.11;100.07;106503.11
PFR TFI S.A.;4Q25;436325584.00;437990754.56;100.38;1665170.56
PKO TFI S.A.;4Q23;6803368571.00;6869749543.69;100.98;66380972.69
PKO TFI S.A.;4Q24;9332835775.00;9346591184.26;100.15;13755409.26
PKO TFI S.A.;4Q25;13916380343.00;13969736425.20;100.38;53356082.20
Pekao TFI S.A.;4Q23;1155090029.00;1148230199.94;99.41;-6859829.06
Pekao TFI S.A.;4Q24;1641227114.00;1653483051.41;100.75;12255937.41
Pekao TFI S.A.;4Q25;2587018079.00;2620776120.95;101.30;33758041.95
Santander TFI S.A.;4Q23;356130321.10;358751577.38;100.74;2621256.28
Santander TFI S.A.;4Q24;485230944.00;489899013.41;100.96;4668069.41
Santander TFI S.A.;4Q25;738067140.30;739139128.46;100.15;1071988.16
TFI PZU SA;4Q23;4612398819.00;442980.00;0.01;-4611955839.00
TFI PZU SA;4Q24;6592915217.00;733115.00;0.01;-6592182102.00
TFI PZU SA;4Q25;9944136244.00;11948159250.85;120.15;2004023006.85
UNIQA TFI S.A.;4Q23;763957537.90;633865556.64;82.97;-130091981.26
UNIQA TFI S.A.;4Q24;1063527904.00;853213186.50;80.22;-210314717.50
UNIQA TFI S.A.;4Q25;1599759589.00;1312131475.74;82.02;-287628113.26
Vienna;4Q23;218809472.30;0.00;0.00;-218809472.30
Vienna;4Q24;300507814.90;0.00;0.00;-300507814.90
Vienna;4Q25;436218496.00;0.00;0.00;-436218496.00
