instytucja;quarter;suma_wartosc_pln
Allianz Polska TFI S.A.;4Q23;673217007.67
Allianz Polska TFI S.A.;4Q24;2797674919.02
Allianz Polska TFI S.A.;4Q25;3996137417.66
BNP Paribas TFI S.A.;4Q23;286859633.15
BNP Paribas TFI S.A.;4Q24;383313275.33
BNP Paribas TFI S.A.;4Q25;576500004.96
ESALIENS TFI S.A.;4Q23;230787829.24
ESALIENS TFI S.A.;4Q24;411264929.48
ESALIENS TFI S.A.;4Q25;633274177.46
Generali Investments TFI S.A.;4Q23;374534139.88
Generali Investments TFI S.A.;4Q24;526802758.59
Generali Investments TFI S.A.;4Q25;814700701.34
Goldman Sachs TFI S.A.;4Q23;1280847801.82
Goldman Sachs TFI S.A.;4Q24;1804346362.45
Goldman Sachs TFI S.A.;4Q25;2873031523.77
Investors TFI S.A.;4Q23;501584394.60
Investors TFI S.A.;4Q24;663934248.75
Investors TFI S.A.;4Q25;1053127231.22
Millennium TFI S.A.;4Q23;163765785.65
Millennium TFI S.A.;4Q24;231531304.06
Millennium TFI S.A.;4Q25;320010362.89
Nationale-Nederlanden;4Q23;4565827052.79
Nationale-Nederlanden;4Q24;3307371132.13
Nationale-Nederlanden;4Q25;4565827052.79
PFR TFI S.A.;4Q23;102931015.00
PFR TFI S.A.;4Q24;149702554.11
PFR TFI S.A.;4Q25;437990754.56
PKO TFI S.A.;4Q23;6869749543.69
PKO TFI S.A.;4Q24;9346591184.26
PKO TFI S.A.;4Q25;13969736425.20
PZU TFI S.A.;4Q23;442980.00
PZU TFI S.A.;4Q24;733115.00
PZU TFI S.A.;4Q25;11948159250.85
Pekao TFI S.A.;4Q23;1148230199.94
Pekao TFI S.A.;4Q24;1653483051.41
Pekao TFI S.A.;4Q25;2620776120.95
Santander TFI S.A.;4Q23;358751577.38
Santander TFI S.A.;4Q24;489899013.41
Santander TFI S.A.;4Q25;739139128.46
UNIQA TFI S.A.;4Q23;633865556.64
UNIQA TFI S.A.;4Q24;853213186.50
UNIQA TFI S.A.;4Q25;1312131475.74
