instytucja;suma_wartosc_pln
PKO TFI S.A.;34012941970,18
PZU TFI S.A.;16977114990,47
Nationale-Nederlanden;11629560782,96
Allianz Polska TFI S.A.;9831048403,8
Goldman Sachs TFI S.A.;6646259647,15
Pekao TFI S.A.;6038884671,05
UNIQA TFI S.A.;3355121316,92
Investors TFI S.A.;2499152393,61
Generali Investments TFI S.A.;1918421124,88
Santander TFI S.A.;1778027348,31
ESALIENS TFI S.A.;1437371995,84
Pocztylion;1435986229,5
BNP Paribas TFI S.A.;1415261984,32
Millennium TFI S.A.;805044295,1899999
PFR TFI S.A.;746668861,48
Vienna Life;402304719,15999997
