instytucja;2022;2023;2024;2025;RAZEM
PKO TFI S.A.;3826864817,03;6869749543,69;9346591184,26;13969736425,2;34012941970,18
PZU TFI S.A.;17304000,0;447546172,0;6505771000,0;10006493818,47;16977114990,47
Nationale-Nederlanden;1335612257,28;2420750340,76;3307371132,13;4565827052,79;11629560782,96
Allianz Polska TFI S.A.;1059556016,24;1977680050,88;2797674919,02;3996137417,66;9831048403,8
Goldman Sachs TFI S.A.;688033959,11;1280847801,82;1804346362,45;2873031523,77;6646259647,15
Pekao TFI S.A.;594260266,56;1154562765,23;1657364649,93;2632696989,33;6038884671,05
UNIQA TFI S.A.;410590078,78000003;780795850,02;935312628,04;1228422760,08;3355121316,92
Investors TFI S.A.;280506519,04;501584394,6;663934248,75;1053127231,22;2499152393,61
Generali Investments TFI S.A.;202383525,07;374534139,88;526802758,59;814700701,34;1918421124,88
Santander TFI S.A.;190237629,06;358751577,38;489899013,41;739139128,46;1778027348,3100002
ESALIENS TFI S.A.;162045059,66;230787829,24;411264929,48;633274177,46;1437371995,8400002
Pocztylion;184848688,4;308206164,25;398023842,57;544907534,28;1435986229,5
BNP Paribas TFI S.A.;168589070,88;286859633,15;383313275,33;576500004,96;1415261984,32
Millennium TFI S.A.;89736842,59;163765785,65;231531304,06;320010362,89;805044295,19
PFR TFI S.A.;56044537,81;102931015,0;149702554,11;437990754,56;746668861,48
Vienna Life;0,0;0,0;0,0;402304719,15999997;402304719,15999997
