quarter;data;instytucja;fundusz;DATA_fundusz;typ_aktywa;emitent;isin;waluta;liczba_sztuk;wartosc_pln;TYP_aktywo_std;equity_nazwa;fund_total_pln;fund_pct;liczba_sztuk_chg;liczba_sztuk_chg_pct;wartosc_pln_chg;wartosc_pln_chg_pct
4Q25;2025-12-30;PFR TFI S.A.;PFR PPK 2025- PORTFEL;2025;Akcje;AB S.A.;PLAB00000019;PLN;107;11534.6;akcje;ABE PW Equity;37374433.05;0.00030862274177025945;60;1.2765957446808511;6947.4;1.5145186606208583
4Q25;2025-12-30;PFR TFI S.A.;PFR PPK 2025- PORTFEL;2025;Akcje;ALIOR BANK S.A.;PLALIOR00045;PLN;780;86151;akcje;ALR PW Equity;37374433.05;0.002305078444527736;504;1.8260869565217394;62420.52;2.6303943283068867
4Q25;2025-12-30;PFR TFI S.A.;PFR PPK 2025- PORTFEL;2025;Akcje;Allegro.eu société anonyme;LU2237380790;PLN;4928;152866.56;akcje;ALE PW Equity;37374433.05;0.004090137228181981;2806;1.3223374175306316;95402.8;1.6602255056056197
4Q25;2025-12-30;PFR TFI S.A.;PFR PPK 2025- PORTFEL;2025;Akcje;AMAZON.COM INC.;US0231351067;USD;35;29246.69;akcje;AMZN US Equity;37374433.05;0.00078253200418782;35;1;29246.69;1
4Q25;2025-12-30;PFR TFI S.A.;PFR PPK 2025- PORTFEL;2025;Akcje;ASSECO POLAND S.A.;PLSOFTB00016;PLN;328;74915.2;akcje;ACP PW Equity;37374433.05;0.0020044504728614207;106;0.4774774774774775;53558.8;2.5078571294787508
4Q25;2025-12-30;PFR TFI S.A.;PFR PPK 2025- PORTFEL;2025;Akcje;ASSECO SOUTH EASTERN EUROPE S.A.;PLASSEE00014;PLN;155;9765;akcje;ASE PW Equity;37374433.05;0.0002612748663487753;-113;-0.4216417910447762;-3367;-0.25639658848614076
4Q25;2025-12-30;PFR TFI S.A.;PFR PPK 2025- PORTFEL;2025;Akcje;BARRICK MINING CORP;CA06849F1080;CAD;241;38348.27;akcje;ABX CN Equity;37374433.05;0.0010260562333801074;241;1;38348.27;1
4Q25;2025-12-30;PFR TFI S.A.;PFR PPK 2025- PORTFEL;2025;Akcje;BENEFIT SYSTEMS S.A.;PLBNFTS00018;PLN;27;94770;akcje;BFT PW Equity;37374433.05;0.0025356906383894967;16;1.4545454545454547;62925;1.9759773904851622
4Q25;2025-12-30;PFR TFI S.A.;PFR PPK 2025- PORTFEL;2025;Akcje;BUDIMEX S.A.;PLBUDMX00013;PLN;76;48472.8;akcje;BDX PW Equity;37374433.05;0.001296950777424569;67;7.444444444444445;44273.4;10.542791827403917
4Q25;2025-12-30;PFR TFI S.A.;PFR PPK 2025- PORTFEL;2025;Akcje;CAPTOR THERAPEUTICS S.A.;PLCPTRT00014;PLN;492;35424;akcje;CTX PW Equity;37374433.05;0.0009478137087085527;492;1;35424;1
4Q25;2025-12-30;PFR TFI S.A.;PFR PPK 2025- PORTFEL;2025;Akcje;CCC S.A.;PLCCC0000016;PLN;458;54776.8;akcje;CCC PW Equity;37374433.05;0.0014656222323618634;209;0.8393574297188755;9010.6;0.19688328941445874
4Q25;2025-12-30;PFR TFI S.A.;PFR PPK 2025- PORTFEL;2025;Akcje;CD PROJEKT S.A.;PLOPTTC00011;PLN;429;103389;akcje;CDR PW Equity;37374433.05;0.0027663028322512573;101;0.3079268292682926;40593.4;0.6464370115103605
4Q25;2025-12-30;PFR TFI S.A.;PFR PPK 2025- PORTFEL;2025;Akcje;CREOTECH INSTRUMENTS S.A.;PLCRTCH00017;PLN;52;19968;akcje;CRI PW Equity;37374433.05;0.0005342689740145771;-4;-0.0714285714285714;10280;1.0611065235342694
4Q25;2025-12-30;PFR TFI S.A.;PFR PPK 2025- PORTFEL;2025;Akcje;CYBER FOLKS S.A.;PLR220000018;PLN;283;58298;akcje;CBF PW Equity;37374433.05;0.0015598363705479676;139;0.9652777777777777;36626;1.690014765596161
4Q25;2025-12-30;PFR TFI S.A.;PFR PPK 2025- PORTFEL;2025;Akcje;CYFROWY POLSAT S.A.;PLCFRPT00013;PLN;1515;18483;akcje;CPS PW Equity;37374433.05;0.00049453592982328876;281;0.2277147487844409;1034.24;0.05927297985644842
