quarter;data;instytucja;fundusz;DATA_fundusz;typ_aktywa;emitent;isin;waluta;liczba_sztuk;wartosc_pln;TYP_aktywo_std;equity_nazwa;fund_total_pln;fund_pct;liczba_sztuk_chg;liczba_sztuk_chg_pct;wartosc_pln_chg;wartosc_pln_chg_pct;emitent_short_name;kraj_emitenta;domestic_foreign ;Cena_PLN ;shares outstanding;market cap;shares_no
4Q25;30.12.2025;PFR TFI S.A.;PFR PPK 2025- PORTFEL;2025;Akcje;AB S.A.;PLAB00000019;PLN;107.0;11534.6;akcje;ABE PW Equity;37374433.05;0.000308623;60.0;1.276595745;11534.6;;AB SA;PL;domestic;107.8;16187644.0;1745028023;107
4Q25;30.12.2025;PFR TFI S.A.;PFR PPK 2025- PORTFEL;2025;Akcje;ALIOR BANK S.A.;PLALIOR00045;PLN;780.0;86151.0;akcje;ALR PW Equity;37374433.05;0.002305078;504.0;1.826086957;86151.0;;Alior Bank SA;PL;domestic;110.45;130553991.0;14419688306;780
4Q25;30.12.2025;PFR TFI S.A.;PFR PPK 2025- PORTFEL;2025;Akcje;Allegro.eu société anonyme;LU2237380790;PLN;4928.0;152866.56;akcje;ALE PW Equity;37374433.05;0.004090137;2806.0;1.322337418;152866.56;;Allegro.eu SA;PL;domestic;31.02;1056904853.0;32785188540;4928
4Q25;30.12.2025;PFR TFI S.A.;PFR PPK 2025- PORTFEL;2025;Akcje;AMAZON.COM INC.;US0231351067;USD;35.0;29246.69;akcje;AMZN US Equity;37374433.05;0.000782532;35.0;;29246.69;;Amazon.com Inc;US;foreign;835.24776;10734920870.0;8.96632E+12;35.01558627
4Q25;30.12.2025;PFR TFI S.A.;PFR PPK 2025- PORTFEL;2025;Akcje;ASSECO POLAND S.A.;PLSOFTB00016;PLN;328.0;74915.2;akcje;ACP PW Equity;37374433.05;0.00200445;106.0;0.477477477;74915.2;;Asseco Poland SA;PL;domestic;228.4;83000303.0;18957269205;328
4Q25;30.12.2025;PFR TFI S.A.;PFR PPK 2025- PORTFEL;2025;Akcje;ASSECO SOUTH EASTERN EUROPE S.A.;PLASSEE00014;PLN;155.0;9765.0;akcje;ASE PW Equity;37374433.05;0.000261275;-113.0;-0.421641791;9765.0;;Asseco South Eastern Europe S;PL;domestic;63.0;51894251.0;3269337813;155
4Q25;30.12.2025;PFR TFI S.A.;PFR PPK 2025- PORTFEL;2025;Akcje;BARRICK MINING CORP;CA06849F1080;CAD;241.0;38348.27;akcje;ABX CN Equity;37374433.05;0.001026056;241.0;;38348.27;;Barrick Mining Corp;CA;foreign;158.9183107;1675360395.0;2.66245E+11;241.3080647
4Q25;30.12.2025;PFR TFI S.A.;PFR PPK 2025- PORTFEL;2025;Akcje;BENEFIT SYSTEMS S.A.;PLBNFTS00018;PLN;27.0;94770.0;akcje;BFT PW Equity;37374433.05;0.002535691;16.0;1.454545455;94770.0;;Benefit Systems SA;PL;domestic;3510.0;3301042.0;11586657420;27
4Q25;30.12.2025;PFR TFI S.A.;PFR PPK 2025- PORTFEL;2025;Akcje;BUDIMEX S.A.;PLBUDMX00013;PLN;76.0;48472.8;akcje;BDX PW Equity;37374433.05;0.001296951;67.0;7.444444444;48472.8;;Budimex SA;PL;domestic;637.8;25530098.0;16283096504;76
4Q25;30.12.2025;PFR TFI S.A.;PFR PPK 2025- PORTFEL;2025;Akcje;CAPTOR THERAPEUTICS S.A.;PLCPTRT00014;PLN;492.0;35424.0;akcje;CTX PW Equity;37374433.05;0.000947814;492.0;;35424.0;;Captor Therapeutics SA;PL;domestic;72.0;4381316.0;315454752;492
