instytucja;4Q22;4Q23;4Q24;4Q25;RAZEM
Goldman Sachs TFI S.A.;1193;1521;1553;1956;6223
Investors TFI S.A.;945;1501;1710;1751;5907
BNP Paribas TFI S.A.;1419;1438;1425;1259;5541
PKO TFI S.A.;1086;1252;1318;1471;5127
Pekao TFI S.A.;1170;1226;1103;1152;4651
Nationale-Nederlanden;879;1021;1227;1174;4301
Allianz Polska TFI S.A.;774;920;1237;1168;4099
Santander TFI S.A.;940;987;976;979;3882
Generali Investments TFI S.A.;808;1002;1104;881;3795
PFR TFI S.A.;886;892;827;829;3434
UNIQA TFI S.A.;917;955;688;731;3291
Millennium TFI S.A.;757;746;783;757;3043
PZU TFI S.A.;324;462;601;1572;2959
ESALIENS TFI S.A.;723;762;823;510;2818
Pocztylion;698;714;727;0;2139
Vienna Life;0;0;0;717;717
