quarter;instytucja;rows;empty_liczba_sztuk;empty_liczba_sztuk_chg;empty_liczba_sztuk_chg_pct;empty_wartosc_pln_chg;empty_wartosc_pln_chg_pct
4Q23;Allianz Polska TFI S.A.;920;0;920;920;920;920
4Q23;BNP Paribas TFI S.A.;1438;0;1438;1438;1438;1438
4Q23;ESALIENS TFI S.A.;762;0;762;762;762;762
4Q23;Generali Investments TFI S.A.;1002;0;1002;1002;1002;1002
4Q23;Goldman Sachs TFI S.A.;1521;0;1521;1521;1521;1521
4Q23;Investors TFI S.A.;1365;0;1365;1365;1365;1365
4Q23;Millennium TFI S.A.;746;0;746;746;746;746
4Q23;Nationale-Nederlanden;1174;0;0;388;1174;1174
4Q23;PFR TFI S.A.;892;0;892;892;892;892
4Q23;PKO TFI S.A.;1252;0;1252;1252;1252;1252
4Q23;PZU TFI S.A.;462;0;462;462;462;462
4Q23;Pekao TFI S.A.;1217;0;1217;1217;1217;1217
4Q23;Santander TFI S.A.;987;0;987;987;987;987
4Q23;UNIQA TFI S.A.;874;0;874;874;874;874
4Q24;Allianz Polska TFI S.A.;1237;0;0;247;0;0
4Q24;BNP Paribas TFI S.A.;1425;0;0;0;0;0
4Q24;ESALIENS TFI S.A.;823;0;0;0;0;0
4Q24;Generali Investments TFI S.A.;1104;0;0;0;0;0
4Q24;Goldman Sachs TFI S.A.;1553;0;0;0;0;0
4Q24;Investors TFI S.A.;1542;0;0;0;0;0
4Q24;Millennium TFI S.A.;783;0;0;0;0;0
4Q24;Nationale-Nederlanden;1227;0;0;308;0;9
4Q24;PFR TFI S.A.;827;0;0;76;0;0
4Q24;PKO TFI S.A.;1318;0;0;62;0;37
4Q24;PZU TFI S.A.;601;0;0;0;0;92
4Q24;Pekao TFI S.A.;1094;0;0;0;0;0
4Q24;Santander TFI S.A.;976;0;0;0;0;0
4Q24;UNIQA TFI S.A.;867;0;0;0;0;0
4Q25;Allianz Polska TFI S.A.;1168;0;0;145;0;0
4Q25;BNP Paribas TFI S.A.;1259;0;0;0;0;0
4Q25;ESALIENS TFI S.A.;510;0;0;0;0;4
4Q25;Generali Investments TFI S.A.;881;0;0;0;0;0
4Q25;Goldman Sachs TFI S.A.;1956;0;0;0;0;0
4Q25;Investors TFI S.A.;1547;0;0;0;0;0
4Q25;Millennium TFI S.A.;757;0;0;0;0;0
4Q25;Nationale-Nederlanden;1174;0;0;323;0;9
4Q25;PFR TFI S.A.;829;0;0;70;0;0
4Q25;PKO TFI S.A.;1471;0;0;131;0;66
4Q25;PZU TFI S.A.;2319;0;0;188;0;5
4Q25;Pekao TFI S.A.;1134;0;0;0;0;0
4Q25;Santander TFI S.A.;979;0;0;0;0;0
4Q25;UNIQA TFI S.A.;1006;0;0;0;0;0
