instytucja;quarter;wartosc_knf;wartosc_master;ratio_pct;abs_dev_pct;diff_pln;status
Allianz Polska TFI S.A.;4Q23;1958020809.0;1977680050.88;101.0040364121585;1.0040364121584986;19659241.880000114;OK
BNP Paribas TFI S.A.;4Q23;295343344.7;286859633.15;97.12750881228847;2.872491187711532;-8483711.550000012;OK
Esaliens TFI S.A.;4Q23;299700361.7;230787829.24;77.00618975929652;22.993810240703482;-68912532.45999998;ALERT
Generali Investments TFI S.A.;4Q23;395562453.3;374534139.88;94.68394605085234;5.316053949147658;-21028313.420000017;ALERT
Goldman Sachs TFI S.A.;4Q23;1437196735.0;1280847801.82;89.12125741922172;10.87874258077828;-156348933.18000007;ALERT
Investors TFI S.A.;4Q23;518182301.8;501584394.6;96.79689809120377;3.203101908796228;-16597907.199999988;OK
MILLENNIUM TFI S.A.;4Q23;167761242.0;163765785.65;97.61836744747038;2.3816325525296236;-3995456.349999994;OK
Nationale-Nederlanden PTE S.A.;4Q23;2286870325.0;2420750340.76;105.85428978182225;5.854289781822246;133880015.76000023;ALERT
Pekao TFI S.A.;4Q23;1155090029.0;1154562765.23;99.95435301519689;0.045646984803113355;-527263.7699999809;OK
PFR TFI S.A.;4Q23;103473013.0;102931015.0;99.4761938554935;0.5238061445064943;-541998.0;OK
PKO TFI S.A.;4Q23;6803368571.0;6869749543.69;100.9757074307712;0.9757074307711946;66380972.68999958;OK
Santander TFI S.A.;4Q23;356130321.1;358751577.38;100.7360385018337;0.7360385018337041;2621256.2799999714;OK
TFI PZU SA;4Q23;4612398819.0;447546172.0;9.703110887905202;90.2968891120948;-4164852647.0;ALERT
UNIQA TFI S.A.;4Q23;763957537.9;780795850.02;102.20409005535646;2.2040900553564597;16838312.120000005;OK
Vienna;4Q23;218809472.3;0.0;0.0;100.0;-218809472.3;ALERT
Allianz Polska TFI S.A.;4Q24;2702386031.0;2797674919.02;103.52610200492856;3.5261020049285605;95288888.01999998;OK
BNP Paribas TFI S.A.;4Q24;397274198.9;383313275.33;96.4858217300152;3.5141782699847965;-13960923.569999993;OK
Esaliens TFI S.A.;4Q24;410685812.7;411264929.48;100.14101212218476;0.14101212218476178;579116.780000031;OK
Generali Investments TFI S.A.;4Q24;543541319.4;526802758.59;96.92046212264465;3.0795378773553495;-16738560.810000002;OK
Goldman Sachs TFI S.A.;4Q24;2046181857.0;1804346362.45;88.18113386536591;11.818866134634092;-241835494.54999995;ALERT
Investors TFI S.A.;4Q24;715025359.2;663934248.75;92.85464357415758;7.145356425842422;-51091110.45000005;ALERT
MILLENNIUM TFI S.A.;4Q24;236694869.1;231531304.06;97.81847191718445;2.1815280828155466;-5163565.039999992;OK
Nationale-Nederlanden PTE S.A.;4Q24;3105833228.0;3307371132.13;106.48901242710254;6.489012427102537;201537904.1300001;ALERT
Pekao TFI S.A.;4Q24;1641227114.0;1657364649.93;100.9832603783074;0.9832603783074063;16137535.930000067;OK
PFR TFI S.A.;4Q24;149596051.0;149702554.11;100.07119379775607;0.0711937977560666;106503.1100000143;OK
PKO TFI S.A.;4Q24;9332835775.0;9346591184.26;100.14738724211614;0.14738724211613885;13755409.260000229;OK
Santander TFI S.A.;4Q24;485230944.0;489899013.41;100.96203044503281;0.9620304450328092;4668069.410000026;OK
TFI PZU SA;4Q24;6592915217.0;6505771000.0;98.6782142021894;1.3217857978106053;-87144217.0;OK
UNIQA TFI S.A.;4Q24;1063527904.0;935312628.04;87.9443430230863;12.055656976913696;-128215275.96000004;ALERT
Vienna;4Q24;300507814.9;0.0;0.0;100.0;-300507814.9;ALERT
Allianz Polska TFI S.A.;4Q25;3977559942.0;3996137417.66;100.46705708853902;0.46705708853902195;18577475.659999847;OK
BNP Paribas TFI S.A.;4Q25;576979609.1;576500004.96;99.91687676090528;0.08312323909471786;-479604.1399999857;OK
Esaliens TFI S.A.;4Q25;631762150.6;633274177.46;100.23933482855281;0.2393348285528134;1512026.8600000143;OK
Generali Investments TFI S.A.;4Q25;825152032.2;814700701.34;98.73340542685996;1.2665945731400399;-10451330.860000014;OK
Goldman Sachs TFI S.A.;4Q25;3129793938.0;2873031523.77;91.79618788596426;8.203812114035742;-256762414.23000002;ALERT
Investors TFI S.A.;4Q25;1073109734.0;1053127231.22;98.13788821898805;1.8621117810119472;-19982502.77999997;OK
MILLENNIUM TFI S.A.;4Q25;323739174.8;320010362.89;98.84820491301257;1.151795086987434;-3728811.910000026;OK
Nationale-Nederlanden PTE S.A.;4Q25;4417504679.0;4565827052.79;103.35760535795461;3.3576053579546112;148322373.78999996;OK
Pekao TFI S.A.;4Q25;2587018079.0;2632696989.33;101.76569737570821;1.7656973757082142;45678910.32999992;OK
PFR TFI S.A.;4Q25;436325584.0;437990754.56;100.38163486649914;0.3816348664991409;1665170.5600000024;OK
PKO TFI S.A.;4Q25;13916380343.0;13969736425.2;100.38340488607614;0.38340488607613565;53356082.20000076;OK
Santander TFI S.A.;4Q25;738067140.3;739139128.46;100.1452426346422;0.14524263464220155;1071988.1600000858;OK
TFI PZU SA;4Q25;9944136244.0;10006493818.47;100.62707884264583;0.6270788426458296;62357574.46999931;OK
UNIQA TFI S.A.;4Q25;1599759589.0;1228422760.08;76.78796042397093;23.21203957602907;-371336828.9200001;ALERT
Vienna;4Q25;436218496.0;402304719.15999997;92.22550690743749;7.774493092562508;-33913776.84000003;ALERT
