Zarządzający;4Q23 knf;4Q23 PPK_master;4Q23 %;4Q24 knf;4Q24 PPK_master;4Q24 %;4Q25 knf;4Q25 PPK_master;4Q25 %;całość %
Allianz Polska TFI S.A.;1958020809.0;673217007.67;34%;2702386031.0;2797674919.02;104%;3977559942.0;3996137417.66;100%;86%
BNP Paribas TFI S.A.;295343344.7;286859633.15;97%;397274198.9;383313275.33;96%;576979609.1;576500004.96;100%;98%
Esaliens TFI S.A.;299700361.7;230787829.24;77%;410685812.7;411264929.48;100%;631762150.6;633274177.46;100%;95%
Generali Investments TFI S.A.;395562453.3;374534139.88;95%;543541319.4;526802758.59;97%;825152032.2;814700701.34;99%;97%
Goldman Sachs TFI S.A.;1437196735.0;1280847801.82;89%;2046181857.0;1804346362.45;88%;3129793938.0;2873031523.77;92%;90%
Investors TFI S.A.;518182301.8;501584394.6;97%;715025359.2;663934248.75;93%;1073109734.0;1053127231.22;98%;96%
MILLENNIUM TFI S.A.;167761242.0;163765785.65;98%;236694869.1;231531304.06;98%;323739174.8;320010362.89;99%;98%
Nationale-Nederlanden PTE S.A.;2286870325.0;2420750340.76;106%;3105833228.0;3307371132.13;106%;4417504679.0;4565827052.79;103%;105%
Pekao TFI S.A.;1155090029.0;1154562765.23;100%;1641227114.0;1657364649.93;101%;2587018079.0;2632696989.33;102%;101%
PFR TFI S.A.;103473013.0;102931015.0;99%;149596051.0;149702554.11;100%;436325584.0;437990754.56;100%;100%
PKO TFI S.A.;6803368571.0;6869749543.69;101%;9332835775.0;9346591184.26;100%;13916380343.0;13969736425.2;100%;100%
Santander TFI S.A.;356130321.1;358751577.38;101%;485230944.0;489899013.41;101%;738067140.3;739139128.46;100%;101%
TFI PZU SA;4612398819.0;442980000.0;10%;6592915217.0;733115000.0;11%;9944136244.0;10006493818.47;101%;53%
UNIQA TFI S.A.;763957537.9;779100667.08;102%;1063527904.0;1109826566.24;104%;1599759589.0;1658092107.56;104%;103%
Vienna;218809472.3;0.0;0%;300507814.9;0.0;0%;436218496.0;402304721.4;92%;42%
SUMA;21371865335.8;15640422501.149998;73%;29723463495.2;23612737897.760002;79%;44613506735.0;44679062417.07;100%;88%
