instytucja;4Q23_knf;4Q24_knf;4Q25_knf
Allianz Polska TFI S.A.;1958020809;2702386031;3977559942
BNP Paribas TFI S.A.;295343344.7;397274198.9;576979609.1
Esaliens TFI S.A.;299700361.7;410685812.7;631762150.6
Generali Investments TFI S.A.;395562453.3;543541319.4;825152032.2
Goldman Sachs TFI S.A.;1437196735;2046181857;3129793938
Investors TFI S.A.;518182301.8;715025359.2;1073109734
MILLENNIUM TFI S.A.;167761242;236694869.1;323739174.8
Nationale-Nederlanden PTE S.A.;2286870325;3105833228;4417504679
Pekao TFI S.A.;1155090029;1641227114;2587018079
PFR TFI S.A.;103473013;149596051;436325584
PKO TFI S.A.;6803368571;9332835775;13916380343
Santander TFI S.A.;356130321.1;485230944;738067140.3
TFI PZU SA;4612398819;6592915217;9944136244
UNIQA TFI S.A.;763957537.9;1063527904;1599759589
Vienna;218809472.3;300507814.9;436218496
