quarter;instytucja;fundusz;emitent;shares_no;source
4Q23;Nationale-Nederlanden;NN DFE Nasze Jutro 2030;ASML Holding N.V.;428,6371484;nationale_nederlanden_fixed_structure.csv
4Q23;Nationale-Nederlanden;NN DFE Nasze Jutro 2030;Advanced Micro Devices Inc.;1067,253144;nationale_nederlanden_fixed_structure.csv
4Q23;Nationale-Nederlanden;NN DFE Nasze Jutro 2030;Agnico Eagle Mines Ltd;2351,688308;nationale_nederlanden_fixed_structure.csv
4Q23;Nationale-Nederlanden;NN DFE Nasze Jutro 2030;Alior Bank S.A.;47674,07781;nationale_nederlanden_fixed_structure.csv
4Q23;Nationale-Nederlanden;NN DFE Nasze Jutro 2030;Allegro.eu S.A.;95449,11478;nationale_nederlanden_fixed_structure.csv
4Q23;Nationale-Nederlanden;NN DFE Nasze Jutro 2030;Allianz SE;602,8981256;nationale_nederlanden_fixed_structure.csv
4Q23;Nationale-Nederlanden;NN DFE Nasze Jutro 2030;Alphabet Inc.;4575,722706;nationale_nederlanden_fixed_structure.csv
4Q23;Nationale-Nederlanden;NN DFE Nasze Jutro 2030;Amazon.com Inc.;1680,24317;nationale_nederlanden_fixed_structure.csv
4Q23;Nationale-Nederlanden;NN DFE Nasze Jutro 2030;Apple Inc.;110,075161;nationale_nederlanden_fixed_structure.csv
4Q23;Nationale-Nederlanden;NN DFE Nasze Jutro 2030;Applied Materials Inc.;42,17305886;nationale_nederlanden_fixed_structure.csv
4Q23;Nationale-Nederlanden;NN DFE Nasze Jutro 2030;Asseco Poland S.A.;40298,14364;nationale_nederlanden_fixed_structure.csv
4Q23;Nationale-Nederlanden;NN DFE Nasze Jutro 2030;BNP Paribas Bank Polska S.A.;#VALUE!;nationale_nederlanden_fixed_structure.csv
4Q23;Nationale-Nederlanden;NN DFE Nasze Jutro 2030;BNP Paribas SA;109,2418787;nationale_nederlanden_fixed_structure.csv
4Q23;Nationale-Nederlanden;NN DFE Nasze Jutro 2030;Banco Bilbao Vizcaya Argentaria S.A.;14054,57783;nationale_nederlanden_fixed_structure.csv
4Q23;Nationale-Nederlanden;NN DFE Nasze Jutro 2030;Banco Comercial Portugues S.A.;507162,5685;nationale_nederlanden_fixed_structure.csv
4Q23;Nationale-Nederlanden;NN DFE Nasze Jutro 2030;Banco Santander S.A.;56970,18687;nationale_nederlanden_fixed_structure.csv
4Q23;Nationale-Nederlanden;NN DFE Nasze Jutro 2030;Bank Millennium S.A.;249252,8953;nationale_nederlanden_fixed_structure.csv
4Q23;Nationale-Nederlanden;NN DFE Nasze Jutro 2030;Bank Pekao S.A.;34517,42177;nationale_nederlanden_fixed_structure.csv
4Q23;Nationale-Nederlanden;NN DFE Nasze Jutro 2030;Bank of America Corp.;2537,794746;nationale_nederlanden_fixed_structure.csv
4Q23;Nationale-Nederlanden;NN DFE Nasze Jutro 2030;Benefit Systems S.A.;2130,958523;nationale_nederlanden_fixed_structure.csv
4Q23;Nationale-Nederlanden;NN DFE Nasze Jutro 2030;Berkshire Hathaway Inc.;0,208989516;nationale_nederlanden_fixed_structure.csv
4Q23;Nationale-Nederlanden;NN DFE Nasze Jutro 2030;Broadcom Inc.;3526,024529;nationale_nederlanden_fixed_structure.csv
4Q23;Nationale-Nederlanden;NN DFE Nasze Jutro 2030;Budimex S.A.;2306,825176;nationale_nederlanden_fixed_structure.csv
4Q23;Nationale-Nederlanden;NN DFE Nasze Jutro 2030;CCC S.A.;7730,856442;nationale_nederlanden_fixed_structure.csv
4Q23;Nationale-Nederlanden;NN DFE Nasze Jutro 2030;CD Projekt S.A.;29312,43617;nationale_nederlanden_fixed_structure.csv
4Q23;Nationale-Nederlanden;NN DFE Nasze Jutro 2030;CaixaBank SA;74873,58135;nationale_nederlanden_fixed_structure.csv
4Q23;Nationale-Nederlanden;NN DFE Nasze Jutro 2030;Caterpillar Inc.;479,7733274;nationale_nederlanden_fixed_structure.csv
4Q23;Nationale-Nederlanden;NN DFE Nasze Jutro 2030;Coca-Cola Company;229,5666798;nationale_nederlanden_fixed_structure.csv
4Q23;Nationale-Nederlanden;NN DFE Nasze Jutro 2030;CrowdStrike Holdings Inc.;905,8817376;nationale_nederlanden_fixed_structure.csv
4Q23;Nationale-Nederlanden;NN DFE Nasze Jutro 2030;Cyber_Folks S.A.;19387,78364;nationale_nederlanden_fixed_structure.csv
4Q23;Nationale-Nederlanden;NN DFE Nasze Jutro 2030;DataWalk S.A.;39461,50083;nationale_nederlanden_fixed_structure.csv
4Q23;Nationale-Nederlanden;NN DFE Nasze Jutro 2030;Deutsche Post AG;37,49765807;nationale_nederlanden_fixed_structure.csv
4Q23;Nationale-Nederlanden;NN DFE Nasze Jutro 2030;Diagnostyka S.A.;#VALUE!;nationale_nederlanden_fixed_structure.csv
4Q23;Nationale-Nederlanden;NN DFE Nasze Jutro 2030;Dino Polska S.A.;78078,85175;nationale_nederlanden_fixed_structure.csv
4Q23;Nationale-Nederlanden;NN DFE Nasze Jutro 2030;Erste Group Bank AG;2128,44667;nationale_nederlanden_fixed_structure.csv
4Q23;Nationale-Nederlanden;NN DFE Nasze Jutro 2030;GE Vernova Inc.;#VALUE!;nationale_nederlanden_fixed_structure.csv
4Q23;Nationale-Nederlanden;NN DFE Nasze Jutro 2030;General Electric Co.;1526,436994;nationale_nederlanden_fixed_structure.csv
4Q23;Nationale-Nederlanden;NN DFE Nasze Jutro 2030;Grenergy Renovables S.A.;7303,969442;nationale_nederlanden_fixed_structure.csv
4Q23;Nationale-Nederlanden;NN DFE Nasze Jutro 2030;Grupa Kęty S.A.;3033,839691;nationale_nederlanden_fixed_structure.csv
4Q23;Nationale-Nederlanden;NN DFE Nasze Jutro 2030;Grupa Pracuj S.A.;#VALUE!;nationale_nederlanden_fixed_structure.csv
4Q23;Nationale-Nederlanden;NN DFE Nasze Jutro 2030;ING Bank Śląski S.A.;12314,3048;nationale_nederlanden_fixed_structure.csv
