quarter;data;instytucja;fundusz;DATA_fundusz;typ_aktywa;emitent_full;market cap;shares_no
4Q25;31.12.2025;Nationale-Nederlanden;NN DFE Nasze Jutro 2035;2035;Obligacje skarbowe/gwarantowane;MINISTERSTWO FINANSÓW;;
4Q25;31.12.2025;Nationale-Nederlanden;NN DFE Nasze Jutro 2035;2035;Obligacje skarbowe/gwarantowane;MINISTERSTWO FINANSÓW;;
4Q25;31.12.2025;Nationale-Nederlanden;NN DFE Nasze Jutro 2035;2035;Obligacje skarbowe/gwarantowane;MINISTERSTWO FINANSÓW;;
4Q25;31.12.2025;Nationale-Nederlanden;NN DFE Nasze Jutro 2035;2035;Obligacje skarbowe/gwarantowane;MINISTERSTWO FINANSÓW;;
4Q25;31.12.2025;Nationale-Nederlanden;NN DFE Nasze Jutro 2035;2035;Obligacje skarbowe/gwarantowane;MINISTERSTWO FINANSÓW;;
4Q25;31.12.2025;Nationale-Nederlanden;NN DFE Nasze Jutro 2035;2035;Obligacje skarbowe/gwarantowane;MINISTERSTWO FINANSÓW;;
4Q25;31.12.2025;Nationale-Nederlanden;NN DFE Nasze Jutro 2035;2035;Obligacje skarbowe/gwarantowane;MINISTERSTWO FINANSÓW;;
4Q25;31.12.2025;Nationale-Nederlanden;NN DFE Nasze Jutro 2035;2035;Obligacje skarbowe/gwarantowane;MINISTERSTWO FINANSÓW;;
4Q25;31.12.2025;Nationale-Nederlanden;NN DFE Nasze Jutro 2035;2035;Obligacje skarbowe/gwarantowane;MINISTERSTWO FINANSÓW;;
4Q25;31.12.2025;Nationale-Nederlanden;NN DFE Nasze Jutro 2035;2035;Obligacje skarbowe/gwarantowane;MINISTERSTWO FINANSÓW;;
4Q25;31.12.2025;Nationale-Nederlanden;NN DFE Nasze Jutro 2035;2035;Obligacje skarbowe/gwarantowane;MINISTERSTWO FINANSÓW;;
4Q25;31.12.2025;Nationale-Nederlanden;NN DFE Nasze Jutro 2035;2035;Obligacje skarbowe/gwarantowane;MINISTERSTWO FINANSÓW;;
4Q25;31.12.2025;Nationale-Nederlanden;NN DFE Nasze Jutro 2035;2035;Obligacje skarbowe/gwarantowane;MINISTERSTWO FINANSÓW;;
4Q25;31.12.2025;Nationale-Nederlanden;NN DFE Nasze Jutro 2035;2035;Obligacje skarbowe/gwarantowane;MINISTERSTWO FINANSÓW;;
4Q25;31.12.2025;Nationale-Nederlanden;NN DFE Nasze Jutro 2035;2035;Obligacje skarbowe/gwarantowane;MINISTERSTWO FINANSÓW;;
4Q25;31.12.2025;Nationale-Nederlanden;NN DFE Nasze Jutro 2035;2035;Obligacje skarbowe/gwarantowane;MINISTERSTWO FINANSÓW;;
4Q25;31.12.2025;Nationale-Nederlanden;NN DFE Nasze Jutro 2035;2035;Obligacje skarbowe/gwarantowane;MINISTERSTWO FINANSÓW;;
4Q25;31.12.2025;Nationale-Nederlanden;NN DFE Nasze Jutro 2035;2035;Obligacje skarbowe/gwarantowane;MINISTERSTWO FINANSÓW;;
4Q25;31.12.2025;Nationale-Nederlanden;NN DFE Nasze Jutro 2035;2035;Obligacje skarbowe/gwarantowane;MINISTERSTWO FINANSÓW;;
