quarter;knf;ppk_master;diff_pln;pct
4Q23;4612398819.0;4571168659.00;-41230160.00;99.11%
4Q24;6592915217.0;733115.00;-6592182102.00;0.01%
4Q25;9944136244.0;11948159250.85;2004023006.85;120.15%

quarter;fundusz;wartosc_pln
4Q23;PPK inPZU 2035;927077151.00
4Q23;PPK inPZU 2040;878129252.00
4Q23;PPK inPZU 2030;752606855.00
4Q23;PPK inPZU 2045;692338647.00
4Q23;PPK inPZU 2025;525196672.00
4Q23;PPK inPZU 2050;441253813.00
4Q23;PPK inPZU 2055;260965705.00
4Q23;PPK inPZU 2060;87022936.00
4Q23;PPK inPZU 2065;6147141.00
4Q24;PPK inPZU 2040;11729.00
4Q24;PPK inPZU 2030;5580.00
4Q24;PPK inPZU 2050;4668.00
4Q24;PPK inPZU 2060;588.00
4Q24;PPK inPZU 2070;53.00
4Q25;PPK inPZU 2040;62682474.96
4Q25;PPK inPZU 2045;42178345.20
4Q25;PPK inPZU 2035;38795094.38
4Q25;PPK inPZU 2050;37636821.68
4Q25;PPK inPZU 2030;22778161.78
4Q25;PPK inPZU 2055;19417869.52
4Q25;PPK inPZU 2060;8856931.92
4Q25;PPK inPZU 2025;4996556.84
4Q25;PPK inPZU 2065;1152266.10
4Q25;PPK inPZU 2070;86561.78
