quarter,data,instytucja,fundusz,DATA_fundusz,typ_aktywa,emitent_FULL,isin,waluta,liczba_sztuk,wartosc_pln,TYP_aktywo_std,emitent_short_name,Emitent,fund_total_pln,fund_pct,liczba_sztuk_chg,liczba_sztuk_chg_pct,wartosc_pln_chg,wartosc_pln_chg_pct,Cena_PLN ,Ilosc_szt,shares_out,market_cap,kraj_emitenta,domestic_foreign 
4Q25,2025-12-30,PFR TFI S.A.,PFR PPK 2025- PORTFEL,2025,Akcje,AB S.A.,PLAB00000019,PLN,107.0,11534.6,akcje,AB SA,AB SA,37374433.05,0.000308623,60.0,1.276595745,11534.6,,107.8,107.0,16164740.0,1742558972.0,PL,domestic
4Q25,2025-12-30,PFR TFI S.A.,PFR PPK 2025- PORTFEL,2025,Akcje,ALIOR BANK S.A.,PLALIOR00045,PLN,780.0,86151.0,akcje,Alior Bank SA,Alior Bank SA,37374433.05,0.002305078,504.0,1.826086957,86151.0,,110.45,780.0,130553991.0,14419688306.0,PL,domestic
4Q25,2025-12-30,PFR TFI S.A.,PFR PPK 2025- PORTFEL,2025,Akcje,Allegro.eu société anonyme,LU2237380790,PLN,4928.0,152866.56,akcje,Allegro.eu SA,Allegroeu SA,37374433.05,0.004090137,2806.0,1.322337418,152866.56,,31.02,4928.0,1056904853.0,32785188540.0,PL,domestic
4Q25,2025-12-30,PFR TFI S.A.,PFR PPK 2025- PORTFEL,2025,Akcje,AMAZON.COM INC.,US0231351067,USD,35.0,29246.69,akcje,Amazon.com Inc,Amazoncom Inc,37374433.05,0.000782532,35.0,,29246.69,,841.0,34.77608799,10687000000.0,8987770000000.0,US,foreign
4Q25,2025-12-30,PFR TFI S.A.,PFR PPK 2025- PORTFEL,2025,Akcje,ASSECO POLAND S.A.,PLSOFTB00016,PLN,328.0,74915.2,akcje,Asseco Poland SA,Asseco Poland SA,37374433.05,0.00200445,106.0,0.477477477,74915.2,,228.4,328.0,53382559.0,12192576476.0,PL,domestic
4Q25,2025-12-30,PFR TFI S.A.,PFR PPK 2025- PORTFEL,2025,Akcje,ASSECO SOUTH EASTERN EUROPE S.A.,PLASSEE00014,PLN,155.0,9765.0,akcje,Asseco South Eastern Europe S,Asseco South Eastern Europe S,37374433.05,0.000261275,-113.0,-0.421641791,9765.0,,63.0,155.0,51894251.0,3269337813.0,PL,domestic
4Q25,2025-12-30,PFR TFI S.A.,PFR PPK 2025- PORTFEL,2025,Akcje,BARRICK MINING CORP,CA06849F1080,CAD,241.0,38348.27,akcje,Barrick Mining Corp,Barrick Mining Corp,37374433.05,0.001026056,241.0,,38348.27,,158.9183107,241.3080647,1687434000.0,268164000000.0,CA,foreign
4Q25,2025-12-30,PFR TFI S.A.,PFR PPK 2025- PORTFEL,2025,Akcje,BENEFIT SYSTEMS S.A.,PLBNFTS00018,PLN,27.0,94770.0,akcje,Benefit Systems SA,Benefit Systems SA,37374433.05,0.002535691,16.0,1.454545455,94770.0,,3510.0,27.0,3275742.0,11497854420.0,PL,domestic
4Q25,2025-12-30,PFR TFI S.A.,PFR PPK 2025- PORTFEL,2025,Akcje,BUDIMEX S.A.,PLBUDMX00013,PLN,76.0,48472.8,akcje,Budimex SA,Budimex SA,37374433.05,0.001296951,67.0,7.444444444,48472.8,,637.8,76.0,25530098.0,16283096504.0,PL,domestic
4Q25,2025-12-30,PFR TFI S.A.,PFR PPK 2025- PORTFEL,2025,Akcje,CAPTOR THERAPEUTICS S.A.,PLCPTRT00014,PLN,492.0,35424.0,akcje,Captor Therapeutics SA,Captor Therapeutics SA,37374433.05,0.000947814,492.0,,35424.0,,72.0,492.0,5528709.0,398067048.0,PL,domestic
4Q25,2025-12-30,PFR TFI S.A.,PFR PPK 2025- PORTFEL,2025,Akcje,CCC S.A.,PLCCC0000016,PLN,458.0,54776.8,akcje,CCC SA,CCC SA,37374433.05,0.001465622,209.0,0.83935743,54776.8,,119.6,458.0,77025894.0,9212296922.0,PL,domestic
4Q25,2025-12-30,PFR TFI S.A.,PFR PPK 2025- PORTFEL,2025,Akcje,CD PROJEKT S.A.,PLOPTTC00011,PLN,429.0,103389.0,akcje,CD Projekt SA,CD Projekt SA,37374433.05,0.002766303,101.0,0.307926829,103389.0,,241.0,429.0,99910510.0,24078432910.0,PL,domestic
