COMPANY;TICKER;Allianz Polska TFI S.A.;BNP Paribas TFI S.A.;ESALIENS TFI S.A.;Generali Investments TFI S.A.;Goldman Sachs TFI S.A.;Investors TFI S.A.;Millennium TFI S.A.;Nationale-Nederlanden;PFR TFI S.A.;PKO TFI S.A.;PZU TFI S.A.;Pekao TFI S.A.;Pocztylion;Santander TFI S.A.;UNIQA TFI S.A.;TOTAL;Allianz Polska TFI S.A._pct;BNP Paribas TFI S.A._pct;ESALIENS TFI S.A._pct;Generali Investments TFI S.A._pct;Goldman Sachs TFI S.A._pct;Investors TFI S.A._pct;Millennium TFI S.A._pct;Nationale-Nederlanden_pct;PFR TFI S.A._pct;PKO TFI S.A._pct;PZU TFI S.A._pct;Pekao TFI S.A._pct;Pocztylion_pct;Santander TFI S.A._pct;UNIQA TFI S.A._pct;TOTAL_pct
11 BIT STUDIOS S.A.;11B PW Equity;5490;256;0;1116;5975;1131;791;0;265;17275;17860;0;0;1638;0;51797;;;;;;;;;;;;;;;;
AB S.A.;ABE PW Equity;0;1049;800;0;58614;0;1777;0;2387;196081;0;0;9840.1;25814;0;296362.1;;;;;;;;;;;;;;;;
AC S.A.;ACG PW Equity;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;90;;;;;;;;;;;;;;;;
ACTIVISION BLIZZARD, INC.;ATVI US Equity;0;0;2000;0;0;0;0;0;0;0;0;0;0;2484;0;4484;;;;;;;;;;;;;;;;
ADOBE INC.;ADBE US Equity;0;0;0;1060;0;0;0;0;0;0;0;0;0;415;0;1475;;;;;;;;;;;;;;;;
ADVANCED MICRO DEVICES, INC.;AMD US Equity;0;0;2;0;0;0;0;0;0;0;0;1764;0;8117;0;9883;;;;;;;;;;;;;;;;
AILLERON S.A.;ALL PW Equity;0;5770;0;0;0;0;0;0;0;0;0;0;0;0;0;5770;;;;;;;;;;;;;;;;
AIR LIQUIDE SA;AI FP Equity;0;0;0;0;0;33;0;0;0;0;0;0;0;0;0;33;;;;;;;;;;;;;;;;
AKER HORIZONS AS;AKH NO Equity;0;0;0;0;0;0;0;0;0;0;0;0;0;0;285;285;;;;;;;;;;;;;;;;
ALIOR BANK S.A.;ALR PW Equity;214928;18814;59700;25632;186613;45654;17120;0;7322;545056;21982;60832;3483;40809;62981;1310926;;;;;;;;;;;;;;;;
ALLEGRO.EU SOCIETE ANONYME;ALE PW Equity;1472745;102778;216200;163437;528719;237744;62693;0;41905;2274031;1938160;481002;133651.9;142097;275555;8070717.9;;;;;;;;;;;;;;;;
ALUMETAL S.A.;AML PW Equity;0;1853;0;0;5167;7149;3540;0;0;0;0;0;0;92;33692;51493;;;;;;;;;;;;;;;;
AMBRA S.A.;AMB PW Equity;31249;52;0;0;47476;0;0;0;0;179882;0;0;13998.8;0;0;272657.8;;;;;;;;;;;;;;;;
AMICA S.A.;AMC PW Equity;0;403;0;0;0;0;0;0;101;15580;0;168;6602.5;0;0;22854.5;;;;;;;;;;;;;;;;
AMREST HOLDINGS SE;EAT PW Equity;0;9018;0;58061;63661;0;3905;0;16725;466850;0;64922;4522;29362;0;717026;;;;;;;;;;;;;;;;
APATOR S.A.;APT PW Equity;0;1314;0;0;0;0;0;0;0;0;0;0;0;0;0;1314;;;;;;;;;;;;;;;;
APPLIED MATERIALS, INC.;AMAT US Equity;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;14;;;;;;;;;;;;;;;;
ARCHICOM S.A.;ARH PW Equity;0;0;0;0;0;0;0;0;0;0;0;0;0;0;45330;45330;;;;;;;;;;;;;;;;
ARCTIC PAPER S.A.;ATC PW Equity;0;18690;0;0;59119;0;0;0;0;757163;0;0;0;35700;66921;937593;;;;;;;;;;;;;;;;
ASBISC ENTERPRISES PLC;ASB PW Equity;0;29297;152400;0;0;0;0;0;2162;0;0;0;0;0;0;183859;;;;;;;;;;;;;;;;
ASML Holding NV;ASML NA Equity;624;0;0;823;0;0;0;0;0;0;4773;0;0;441;0;6661;;;;;;;;;;;;;;;;
ASSECO BUSINESS SOLUTIONS S.A.;ABS PW Equity;0;0;0;0;38860;1124;0;0;0;0;0;0;0;0;819;40803;;;;;;;;;;;;;;;;
ASSECO POLAND S.A.;ACP PW Equity;212888;13429;0;23456;107985;28456;9408;0;6988;245835;210462;30870;16509.2;61;34351;940698.2;;;;;;;;;;;;;;;;
ASSECO SOUTH EASTERN EUROPE S.A.;ASE PW Equity;0;8356;0;0;46964;5472;0;0;3935;52791;244819;8361;0;0;17000;387698;;;;;;;;;;;;;;;;
ASTARTA HOLDING N.V.;AST PW Equity;0;8511;0;0;0;0;0;0;0;0;0;0;0;0;0;8511;;;;;;;;;;;;;;;;
ATAL S.A.;1AT PW Equity;15682;1429;0;0;0;0;896;0;0;0;0;53591;0;0;0;71598;;;;;;;;;;;;;;;;
ATENDE S.A.;ATD PW Equity;0;12236;0;0;0;0;0;0;0;0;0;0;0;0;0;12236;;;;;;;;;;;;;;;;
ATM GRUPA SA;ATG PW Equity;0;46676;0;0;0;0;0;0;0;3166080;0;0;0;0;0;3212756;;;;;;;;;;;;;;;;
AUTO PARTNER S.A.;APR PW Equity;0;28001;0;88255;276743;29488;17396;0;11446;444196;424953;44269;29097;0;125389;1519233;;;;;;;;;;;;;;;;
AbbVie Inc;ABBV US Equity;0;0;0;0;0;0;0;0;0;0;25;0;0;0;0;25;;;;;;;;;;;;;;;;
