COMPANY;TICKER;Allianz Polska TFI S.A.;BNP Paribas TFI S.A.;ESALIENS TFI S.A.;Generali Investments TFI S.A.;Goldman Sachs TFI S.A.;Investors TFI S.A.;Millennium TFI S.A.;Nationale-Nederlanden;PFR TFI S.A.;PKO TFI S.A.;Pekao TFI S.A.;Santander TFI S.A.;UNIQA TFI S.A.;TOTAL;Allianz Polska TFI S.A._pct;BNP Paribas TFI S.A._pct;ESALIENS TFI S.A._pct;Generali Investments TFI S.A._pct;Goldman Sachs TFI S.A._pct;Investors TFI S.A._pct;Millennium TFI S.A._pct;Nationale-Nederlanden_pct;PFR TFI S.A._pct;PKO TFI S.A._pct;Pekao TFI S.A._pct;Santander TFI S.A._pct;UNIQA TFI S.A._pct;TOTAL_pct
11 BIT STUDIOS SA;11B PW Equity;-4522;303;0;4469;-6199;-1123;-948;0;-238;0;-3653;-2911;-1946;-16768;-100%;33.8%;;228.5%;-100%;-100%;-100%;;-100%;0%;-100%;-100%;-100%;-40.9%
AAON INC;AAON US Equity;0;0;0;0;0;750;0;0;0;0;0;0;0;750;;;;;;;;;;;;;;
AB S.A.;ABE PW Equity;0;652;14030;0;-34952;0;347;0;-607;0;0;-20999;0;-41529;;62.2%;;;-59.5%;;8.1%;;-16.8%;0%;;-100%;;-11.6%
ABB LTD;ABBN SW Equity;0;0;7;0;0;0;0;0;0;0;0;0;0;7;;;;;;;;;;;;;;
AC S.A.;ACG PW Equity;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0%;;;;;;;;;;;;0%
ADOBE INC.;ADBE US Equity;0;0;0;620;0;0;0;0;0;0;0;963;0;1583;;;;125%;;;;;;;;;;319.2%
ADVANCED MICRO DEVICES, INC.;AMD US Equity;0;0;2;0;0;-694;0;0;0;0;-5793;-1363;0;-7848;;;;0%;;-26.9%;;;;;-45.7%;-24.4%;;-34.2%
AGCO CORP;AGCO US Equity;0;0;0;0;0;-1505;0;0;0;0;0;0;0;-1505;;;;;;-100%;;;;;;;;-100%
AGNICO EAGLE MINES LTD;AEM CN Equity;0;0;1911;0;0;2840;0;0;0;0;0;0;0;4751;;;;;;;;;;;;;;
AILLERON S.A.;ALL PW Equity;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0%;;;;;;;;;;;;0%
AIR LIQUIDE SA;AI FP Equity;0;0;0;0;0;424;0;0;0;0;0;0;0;424;;;;;;70.4%;;;;;;;;70.4%
ALBEMARLE CORP;ALB US Equity;0;0;0;0;0;0;0;0;0;0;0;-3493;0;-3493;;;;;;;;;;;;-100%;;-100%
ALFEN N.V.;ALFEN NA Equity;0;0;0;0;0;0;0;0;0;0;0;7952;0;7952;;;;;;;;;;;;122.3%;;122.3%
ALIOR BANK S.A.;ALR PW Equity;187687;17502;97150;20028;97228;192388;5820;0;2092;0;155849;21457;38009;835210;273.5%;64.8%;;34.5%;28.3%;41.5%;28.8%;;18.9%;0%;153.4%;60.1%;27.3%;40%
ALLEGRO.EU SOCIETE ANONYME;ALE PW Equity;1115974;81449;223600;30446;34419;1223283;23030;0;8547;0;561793;-46034;11692;3268199;167.9%;47%;;9.1%;5%;56.4%;20.5%;;11.2%;0%;269.7%;-16.6%;3.1%;31.3%
AMAZON.COM, INC.;AMZN US Equity;29755;0;6102;-614;0;10313;0;0;0;0;0;436;0;45992;345.1%;;;-16.7%;;233.7%;;;;;0%;10.9%;;185.2%
AMBRA SA;AMB PW Equity;0;0;0;0;-72361;0;0;0;0;0;0;0;0;-72361;;;;;-100%;;;;;0%;;;;-30%
AMICA SA;AMC PW Equity;0;-403;0;0;0;0;0;0;-101;0;0;0;0;-504;;-100%;;;;;;;-100%;0%;0%;;;-1.4%
AMREST HOLDINGS SE;EAT PW Equity;0;-24061;0;-12687;-301269;0;8513;0;-6866;0;-99653;0;0;-436023;;-99.7%;;-21.9%;-85.1%;;39.2%;;-41.3%;0%;-73%;;;-33.1%
AMS AG;AMS SW Equity;0;0;0;0;0;0;0;0;0;0;0;42385;0;42385;;;;;;;;;;;;;;
AND INFORMATION NETWORK AG;BNN GR Equity;0;0;5613;0;0;0;0;0;0;0;0;0;0;5613;;;;;;;;;;;;;;
ANDRITZ AG;ANDR AV Equity;0;0;0;0;-8621;0;0;0;0;0;0;0;0;-8621;;;;;-100%;;;;;;;;;-100%
ANSWEAR.COM S.A.;ANR PW Equity;0;-291;0;0;0;0;0;0;0;0;0;0;0;-291;;-3.2%;;;;;;;;;;;;-3.2%
APATOR S.A.;APT PW Equity;0;-14;0;0;163522;0;0;0;0;0;0;0;0;163508;;-1.1%;;;412.9%;;;;;0%;;;;102.5%
ARCHICOM S.A.;ARH PW Equity;0;8412;0;0;201987;0;0;0;0;0;-71314;0;-12000;127085;;66.8%;;;;;;;;;-59.6%;;-9.4%;48.9%
ARCTIC PAPER S.A.;ATC PW Equity;0;10205;0;0;6759;0;0;0;0;0;0;728;0;17692;;54.6%;;;20.2%;;;;;0%;;1.2%;;2.4%
ARTIFEX MUNDI S.A.;ART PW Equity;0;13000;0;0;0;0;0;0;0;0;0;0;0;13000;;;;;;;;;;;;;;
AS TALLINNA VESI;TVE1T ET Equity;0;0;700;0;0;0;0;0;0;0;0;0;0;700;;;;;;;;;;;;;;
ASBISC ENTERPRISES PLC;ASB PW Equity;0;11500;143200;0;0;0;0;0;-2162;0;0;-45432;0;107106;;39.3%;;;;;;;-100%;;;-100%;;139.3%
ASML HOLDING N.V.;ASML NA Equity;5117;0;0;389;0;404;0;0;0;0;0;148;0;6058;336.2%;;;84.6%;;;;;;;;29.5%;;243.9%
ASSECO BUSINESS SOLUTIONS S.A.;ABS PW Equity;0;0;0;0;0;0;0;0;-3812;0;0;0;0;-3812;;;;;0%;0%;;;-100%;0%;;;;-2.1%
ASSECO POLAND S.A.;ACP PW Equity;-144705;8383;0;-2843;81383;125905;1911;0;228;0;0;0;-3276;66986;-100%;77.2%;;-6.2%;106.3%;762.1%;21.1%;;4.1%;0%;;;-7.5%;9.9%
ASSECO SOUTH EASTERN EUROPE S.A.;ASE PW Equity;0;0;0;1350;-921;2540;0;0;6342;0;0;0;-419;8892;;0%;;8.2%;-1.6%;23.8%;;;87.5%;0%;0%;;-0.7%;4%
ASTARTA HOLDING N.V.;AST PW Equity;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0%;;;;;;;;;;;;0%
AT&T Inc.;T US Equity;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
ATAL S.A.;1AT PW Equity;-18179;4320;26949;0;55777;0;719;0;0;0;-18501;3550;-1389;53246;-54.9%;771.4%;;;107.2%;;37.2%;;;;-34.5%;11.8%;-3%;24.4%
ATENDE S.A.;ATD PW Equity;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0%;;;;;;;;;;;;0%
ATM GRUPA S.A.;ATG PW Equity;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0%;;;;;;;;0%;;;;0%
AUTO PARTNER S.A.;APR PW Equity;95594;14200;38500;74294;-183678;-17007;12143;0;-6492;0;0;0;-145073;-117519;168.7%;34.8%;;66.6%;-100%;-14.1%;59.9%;;-29.3%;0%;;;-100%;-9.7%
AUTODESK INC;ADSK US Equity;0;0;0;0;0;42;0;0;0;0;0;0;0;42;;;;;;17.9%;;;;;;;;17.9%
Abbott Laboratories;ABT US Equity;0;0;0;1851;0;0;0;0;0;0;0;0;0;1851;;;;91.1%;;;;;;;;;;91.1%
Accenture PLC;ACN US Equity;0;0;0;1232;0;0;0;0;0;0;0;0;0;1232;;;;;;;;;;;;;;
Adidas AG;ADS GR Equity;5616;0;0;0;0;0;0;0;0;0;0;0;0;5616;273.4%;;;;;;;;;;;;;273.4%
Agora S.A.;AGO PW Equity;0;0;0;0;0;0;24068;0;0;0;0;0;0;24068;;;;;;;380.6%;;;0%;;;;140.5%
Aixtron SE;AIXA GR Equity;0;0;0;0;0;0;0;0;0;0;87908;0;0;87908;;;;;;;;;;;;;;
Allianz SE;ALV GR Equity;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0%;;;;;;;;;;0%
Alphabet Inc.;GOOGL US Equity;0;0;6102;4045;0;0;0;0;0;0;-7667;0;0;2480;;;;150.2%;;;;;;;-38.1%;;;10.9%
Analog Devices, Inc.;ADI US Equity;0;0;0;1169;0;0;0;0;0;0;0;0;0;1169;;;;98.1%;;;;;;;;;;98.1%
Apple Inc.;AAPL US Equity;0;0;0;2903;0;344;0;0;0;0;0;0;0;3247;;;;84.1%;;33%;;;;;;;;72.3%
Applied Materials Inc.;AMAT US Equity;0;0;0;0;0;0;0;0;0;0;0;-10;0;-10;;;;;;;;;;;;-100%;;-100%
Arcelormittal SA;MT NA Equity;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
Axsome Therapeutics Inc.;AXSM US Equity;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
BANCO SANTANDER S.A.;SAN SM Equity;0;0;67300;0;0;-1060;0;0;0;0;0;0;0;66240;;;;;;-4.4%;;;;;;;;271.9%
BANK HANDLOWY W WARSZAWIE S.A.;BHW PW Equity;0;5187;0;-6336;-55353;0;-5764;0;-3914;0;-2220;-19340;0;-87740;;47.9%;;-47.6%;-51.5%;;-100%;;-45.4%;0%;-100%;-100%;;-18.6%
BANK MILLENNIUM S.A.;MIL PW Equity;796066;112330;0;0;312979;2468567;0;0;19795;0;-1452766;312374;-208043;2361302;;73.5%;;;35%;567.8%;;;29.1%;0%;-96.1%;232.8%;-35.6%;24.8%
BANK OF AMERICA CORP;BAC US Equity;0;0;0;4408;0;6046;0;0;0;0;0;15294;0;25748;;;;39.1%;;142.9%;;;;;;;;166.1%
BANK POLSKA KASA OPIEKI S.A.;PEO PW Equity;265371;4286;98550;15002;38818;176661;5928;0;6964;0;115021;40015;-66580;700036;140.6%;7.8%;;14.4%;11%;16.2%;16.6%;;37.1%;0%;49.9%;53.1%;-31.7%;18%
BARRICK GOLD CORP;NA;266080;-3421;4413;-4884;6093;-38678;-1680;0;-115;0;-3299;-1440090;0;-1215581;516.8%;-100%;;-100%;20.9%;-72.8%;-100%;;-100%;0%;-5.7%;-98.6%;;-72.8%
BAYERISCHE MOTOREN WERKE AG;BMW GR Equity;0;0;0;0;0;-589;0;0;0;0;0;0;0;-589;;;;;;-100%;;;;;;;;-100%
BENEFIT SYSTEMS S.A.;BFT PW Equity;3371;405;1928;1016;-453;-2664;105;0;-46;0;1238;-653;-782;3465;61.6%;42.1%;;184.1%;-8.4%;-7.2%;15.1%;;-9.3%;0%;43.5%;-27%;-13.4%;4.4%
BHP Group Limited;BHP AU Equity;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;0%;;;0%
BICO GROUP AG;BICO SS Equity;0;0;4565;0;0;0;0;0;0;0;0;0;0;4565;;;;;;;;;;;;;;
BIO-TECHNE CORP;TECH US Equity;0;0;0;2266;0;0;0;0;0;0;0;0;0;2266;;;;;;;;;;;;;;
BLOOM ENERGY CORP;BE US Equity;0;0;0;0;0;0;0;0;0;0;0;-26229;0;-26229;;;;;;;;;;;;-100%;;-100%
BNP PARIBAS BANK POLSKA S.A.;BNPPPL PW Equity;98556;0;12500;24778;-199;1746;7930;0;0;0;19076;15681;9784;189852;174.9%;;;;-1.9%;9.2%;;;0%;0%;97.8%;;92.8%;47.8%
BNP PARIBAS S.A.;BNP FP Equity;0;0;750;0;0;36;0;0;0;0;0;0;0;786;;;;;;1.7%;;;;;;;;38.2%
BOOKING HOLDINGS INC;BKNG US Equity;0;0;173;0;0;0;0;0;0;0;0;0;0;173;;;;;;;;;;;;;;
BOOMBIT S.A.;BBT PW Equity;0;-3693;0;0;0;0;0;0;0;0;0;0;0;-3693;;-100%;;;;;;;;;;;;-100%
BUDIMEX S.A.;BDX PW Equity;0;1427;0;-2299;1806;-70156;-1010;0;-1783;0;3611;0;-10400;-78804;;59.8%;;-45.5%;16.6%;-90.3%;-61.1%;;-87%;0%;291%;;-99.7%;-37.8%
BUMECH S.A.;BMC PW Equity;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0%;;;;;;;;;;;;0%
Banco Comercial Portugues S.A.;BCP PL Equity;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
Berkshire Hathaway Inc.;BRK/A US Equity;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
Broadcom Inc.;AVGO US Equity;0;0;0;0;0;753;0;0;0;0;0;0;0;753;;;;;;;;;;;;;;
CADENCE DESIGN SYSTEMS INC;CDNS US Equity;0;0;0;0;0;-518;0;0;0;0;0;0;0;-518;;;;;;-100%;;;;;;;;-100%
CANADIAN PACIFIC KANSAS CITY LTD;CP CN Equity;0;0;0;0;0;-81;0;0;0;0;0;0;0;-81;;;;;;-4.8%;;;;;;;;-4.8%
CAPITAL ONE FINANCIAL CORP;COF US Equity;0;0;0;0;0;370;0;0;0;0;0;0;0;370;;;;;;;;;;;;;;
CARNIVAL CORP;CCL US Equity;0;0;0;0;0;2386;0;0;0;0;0;0;0;2386;;;;;;;;;;;;;;
CATERPILLAR INC;CAT US Equity;0;0;0;0;0;-766;0;0;0;0;0;0;0;-766;;;;;;-51.4%;;;;;;;;-51.4%
CCC S.A.;CCC PW Equity;86494;13443;8750;26276;147486;153298;1701;0;2734;0;105883;13247;35481;594793;;;;;;;21%;;37.1%;0%;;;86.5%;139%
CD PROJEKT S.A.;CDR PW Equity;249720;3458;1400;-3321;131155;284562;3842;0;10838;0;32063;-7765;66531;772483;;17.8%;;-15%;221.8%;1405.9%;77.1%;;398.3%;0%;335%;-43.1%;;135%
CDRL S.A.;CDL PW Equity;0;0;500;0;0;0;0;0;0;0;0;0;0;500;;;;;;;;;;;;;;
CEZ A.S.;CEZ CP Equity;0;0;800;0;0;0;0;0;0;0;0;0;0;800;;;;;;;;;;;;;;
CF Industries Holdings Inc;CF US Equity;0;0;1210;1864;0;0;0;0;0;0;0;0;0;3074;;;;;;;;;;;;;;
CHENIERE ENERGY INC;LNG US Equity;0;0;0;0;0;1201;0;0;0;0;0;0;0;1201;;;;;;185.3%;;;;;;;;185.3%
CHEVRON CORP;CVX US Equity;0;0;0;0;0;-894;0;0;0;0;0;0;0;-894;;;;;;-100%;;;;;;;;-100%
