COMPANY;TICKER;Allianz Polska TFI S.A.;BNP Paribas TFI S.A.;ESALIENS TFI S.A.;Generali Investments TFI S.A.;Goldman Sachs TFI S.A.;Investors TFI S.A.;Millennium TFI S.A.;Nationale-Nederlanden;PFR TFI S.A.;PKO TFI S.A.;PZU TFI S.A.;Pekao TFI S.A.;Pocztylion;Santander TFI S.A.;UNIQA TFI S.A.;Vienna Life;TOTAL;Allianz Polska TFI S.A._pct;BNP Paribas TFI S.A._pct;ESALIENS TFI S.A._pct;Generali Investments TFI S.A._pct;Goldman Sachs TFI S.A._pct;Investors TFI S.A._pct;Millennium TFI S.A._pct;Nationale-Nederlanden_pct;PFR TFI S.A._pct;PKO TFI S.A._pct;PZU TFI S.A._pct;Pekao TFI S.A._pct;Pocztylion_pct;Santander TFI S.A._pct;UNIQA TFI S.A._pct;Vienna Life_pct;TOTAL_pct
11 BIT STUDIOS SA;11B PW Equity;0;0;0;-6425;0;0;0;0;0;-2610;0;0;0;0;0;2;-9033;;0;;-1;;;;;;-0.15706806282722518;;;;;;;-0.3726177708109893
AAON INC;AAON US Equity;0;0;0;0;0;-750;0;0;0;0;0;0;0;0;0;0;-750;;;;;;-1;;;;;;;;;;;-1
AB S.A.;ABE PW Equity;15714;4585;-14030;26713;2814;16186;1481;-115069.5;3833;53030;0;0;1374.1;32236;30927;4987;64780.6;;2.695473251028806;-1;;0.11838451830037865;;0.31849462365591407;-1;1.2734219269102991;0.19596756908568167;;;0.06222625753980471;;;;0.14240016702741176
AC S.A.;ACG PW Equity;0;-90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-90;;-1;;;;;;;;;;;;;;;-1
ADVANCED MICRO DEVICES INC;AMD US Equity;0;0;-2;-2132;0;-1122;0;7363.6;0;0;-55070;-6874;0;1471;0;0;-56365.4;;;-1;-1;;-0.5949098621420996;;0.8554947678559186;;;-1;-1;;0.3488261797486365;;;-0.7154030474294619
AGNICO EAGLE MINES LTD;AEM CN Equity;0;0;-1911;0;0;-95;0;15735.8;0;0;0;0;0;0;0;0;13729.8;;;-1;;;-0.033450704225352124;;;;;;;;;;;2.889865291517575
AILLERON S.A.;ALL PW Equity;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;;;;;;;;;;;;;;0
AIR LIQUIDE SA;AI FP Equity;0;0;0;0;0;-632;0;0;0;0;0;0;0;0;0;0;-632;;;;;;-0.6159844054580896;;;;;;;;;;;-0.6159844054580896
ALAMOS GOLD INC-CLASS A;AGI CN Equity;0;0;0;0;0;2178;0;0;0;0;0;0;0;0;0;0;2178;;;;;;;;;;;;;;;;;
ALBEMARLE CORP;ALB US Equity;0;0;0;0;21366;0;0;0;0;0;0;0;0;4349;0;0;25715;;;;;;;;;;;;;;;;;
