COMPANY;TICKER;Allianz Polska TFI S.A.;BNP Paribas TFI S.A.;ESALIENS TFI S.A.;Erste;Generali Investments TFI S.A.;ING;Investors TFI S.A.;PFR TFI S.A.;PKO TFI S.A.;PZU TFI S.A.;Pekao TFI S.A.;UNIQA TFI S.A.;TOTAL;Allianz Polska TFI S.A._pct;BNP Paribas TFI S.A._pct;ESALIENS TFI S.A._pct;Erste_pct;Generali Investments TFI S.A._pct;ING_pct;Investors TFI S.A._pct;PFR TFI S.A._pct;PKO TFI S.A._pct;PZU TFI S.A._pct;Pekao TFI S.A._pct;UNIQA TFI S.A._pct;TOTAL_pct
11 BIT STUDIOS SA;11B PW Equity;0;0;0;0;0;-10290;0;0;0;0;0;0;-10290;;0;;;;-1;;;0;;;;-0.4035768913989881
AB S.A.;ABE PW Equity;0;3704;0;7341;26713;36223;20269;13736;81958;0;0;44825;234769;;1.4323279195668985;;0.3627334716869255;;1.5053401487761295;;6.309600367478181;0.3374062394506516;;;;0.8040860362365996
AC S.A.;ACG PW Equity;0;-90;0;0;0;0;0;0;0;0;0;0;-90;;-1;;;;;;;;;;;-1
ADOBE INC.;ADBE US Equity;0;0;0;1483;0;0;0;0;0;0;0;0;1483;;;;1.5399792315680165;0;;;;;;;;0.7133237133237134
ADVANCED MICRO DEVICES INC;AMD US Equity;0;0;0;-1433;-2132;0;108;0;0;0;-6874;0;-10331;;;;-0.3607754279959718;-1;;0.11344537815126055;;;;-1;;-0.7416367552045944
AGNICO EAGLE MINES LTD;AEM CN Equity;0;0;0;0;0;0;-5407;0;0;0;0;0;-5407;;;;;;;-0.7739765244775265;;;;;;-0.7739765244775265
AGORA S.A.;AGO PW Equity;0;0;0;0;0;-4142;0;0;-2018;0;0;0;-6160;;;;;;-0.028143557965401467;;;-1;0;;;-0.005747249763718987
AILLERON S.A.;ALL PW Equity;0;5645;0;0;0;0;0;0;0;0;0;0;5645;;0.9783362218370884;;;;;;;;;;;0.9783362218370884
AIR LIQUIDE SA;AI FP Equity;0;0;0;0;0;0;-718;0;0;0;0;0;-718;;;;;;;-0.7341513292433538;;;;;;-0.7341513292433538
ALAMOS GOLD INC-CLASS A;AGI CN Equity;0;0;0;0;0;0;-9588;0;0;0;0;0;-9588;;;;;;;-1;;;;;;-1
ALBEMARLE CORP;ALB US Equity;0;0;0;-695;0;18936;0;0;0;0;0;0;18241;;;;-0.10849203871370594;;;;;;;;;2.84748673118951
ALCOA CORP;AA US Equity;0;0;0;0;0;0;0;4563;0;0;0;0;4563;;;;;;;;;;;;;
ALIOR BANK S.A.;ALR PW Equity;316608;14532;2625;47950;13807;27960;16400;7164;-198989;0;236839;7085;491981;1.513972571297412;0.35204341190435805;0.012656702025072297;0.5307197644688928;0.19141827256342726;0.08807519782269036;0.19423685052053095;0.27798688448255792;-0.1680817851779147;0;0.9682904392976144;0.12206677922883436;0.14097054518738927
ALLEGRO.EU SOCIETE ANONYME;ALE PW Equity;1138531;191185;345229;277061;113270;1018017;352559;142676;2689052;0;911622;880578;8059780;0.4569888286633572;1.0187025442919943;0.4292787802145468;0.716758893485139;0.2752505370386571;0.697751741608613;0.7155071640215935;1.0869310174075343;0.5728783459155351;0;0.8005455099490581;2.5709405801840524;0.4195327932386541
ALLIANZ SE;ALV GR Equity;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;0;;;;;;0
ALPHABET INC.;GOOGL US Equity;0;0;112;-1588;0;0;16569;0;0;0;-12475;0;2618;;;0.018282729350310056;-0.28535489667565137;;;4.584670724958495;;;;-1;;0.09424046076313886
AMAZON.COM, INC.;AMZN US Equity;-11236;0;6547;4249;0;0;890;0;0;0;0;0;450;-0.51505844602337845;;1.0675036686776455;0.5861498137674162;;;0.28589784773530358;0;;;;;0.011146891255882974
AMBRA SA;AMB PW Equity;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;0;;;;0
AMGEN INC.;AMGN US Equity;0;0;0;0;0;0;0;-1207;0;0;0;0;-1207;;;;;;;;-1;;;;;-1
AMICA SA;AMC PW Equity;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;0;;0;;0
AMREST HOLDINGS SE;EAT PW Equity;0;0;0;0;0;0;0;0;1982;0;0;0;1982;;0;;;0;;;;0.002994731267442097;;0;;0.0026631981489295686
AMS AG;AMS SW Equity;0;0;0;-37430;0;0;0;0;0;0;0;0;-37430;;;;-1;;;;;;;;;-1
ANSWEAR.COM S.A.;ANR PW Equity;-250000;-8766;-170240;70160;0;-101728;0;0;0;0;0;0;-460574;-1;-1;-0.5478023869819706;1.2837120796282068;;-1;;;0;;;;-0.4146894425596589
