COMPANY;TICKER;Allianz Polska TFI S.A.;BNP Paribas TFI S.A.;ESALIENS TFI S.A.;Erste;Generali Investments TFI S.A.;ING;Investors TFI S.A.;PFR TFI S.A.;PKO TFI S.A.;PZU TFI S.A.;Pekao TFI S.A.;UNIQA TFI S.A.;TOTAL
11 BIT STUDIOS S.A.;11B PW Equity;;0.0013271993026262027;;;;0.0017603612048658063;;;0.0007560450118342874;;;;0.0038436055193262963
ATAL S.A.;1AT PW Equity;;0.0016442036393682669;;0.0024886208506343352;;0.0011485224198317028;;;;;0.002550914979908364;0.00363495101888094;0.011467212908623607
APPLE INC.;AAPL US Equity;;;;;;;0.0021173717766699884;0.005291852977154573;;;;;0.007409224753824561
AB S.A.;ABE PW Equity;;0.001312351495858412;;0.005838070451039938;;0.00188887377327628;;0.00126242960170675;0.006015995703840228;;;;0.016317721025721608
ASSECO BUSINESS SOLUTIONS S.A.;ABS PW Equity;;;;;;0.0027845304272080773;0.0002400205705937702;;0.0028726832296337584;;;;0.005897234227435606
BARRICK MINING CORP;ABX CN Equity;;;;0.005026819647380473;;;0.0014454613769997102;0.008852321200590149;;;0.0045253272336133477;;0.01984992945858368
AC S.A.;ACG PW Equity;;0.000013937476120294088;;;;;;;;;;;0.000013937476120294088
ASSECO POLAND S.A.;ACP PW Equity;;0.014873609933040508;;;0.008949795008004012;0.020435897958310347;0.006735780126648944;0.008882338196598888;0.017137085887403467;0.0034249045415877827;;0.016761941528525206;0.09720135318011916
ADOBE INC.;ADBE US Equity;;;;0.004006904885971834;0.005029200230827203;;;;;;;;0.009036105116799038
Analog Devices, Inc.;ADI US Equity;;;;;0.00654587772607468;;;;;;;;0.00654587772607468
AGNICO EAGLE MINES LTD;AEM CN Equity;;;;;;;0.007273542803254573;;;;;;0.007273542803254573
ALAMOS GOLD INC-CLASS A;AGI CN Equity;;;;;;;0.0022286196561940963;;;;;;0.0022286196561940963
AGORA S.A.;AGO PW Equity;;;;;;0.00116718205147056;;;0.000005049458164565373;0.0017355630349478748;;;0.002907794544583
AIR LIQUIDE SA;AI FP Equity;;;;;;;0.0017631290826487891;;;;;;0.0017631290826487891
Aixtron SE;AIXA GR Equity;;;;;;;;;;;0.010308874308899065;;0.010308874308899065
ALBEMARLE CORP;ALB US Equity;;;;0.0043177062741509825;;;;;;;;;0.0043177062741509825
ALLEGRO.EU SOCIETE ANONYME;ALE PW Equity;0.06099580131667865;0.033963067038291106;0.05690526428214811;0.039763341656296816;0.04584788225767166;0.04084003395097398;0.04135879354033695;0.027144166527744997;0.04145576144843725;0.05169874575834381;0.04446374942093885;0.03072136245438907;0.51515796965225114
AILLERON S.A.;ALL PW Equity;;0.0005946918067258666;;;;;;;;;;;0.0005946918067258666
ALIOR BANK S.A.;ALR PW Equity;0.014002485005235554;0.020430087185587844;0.0616026450612064;0.025418182418561033;0.021978045148226646;0.02430278850022378;0.019382189590493402;0.014574692928054347;0.028595460491898197;0.025453309787047007;0.026119536136762314;0.014237955254067258;0.2960973775073638
ALLIANZ SE;ALV GR Equity;;;;;;;0.0008040266399918423;;;;;;0.0008040266399918423
AMBRA SA;AMB PW Equity;;;;;;;;;0.0008742179691393391;;;;0.0008742179691393391
AMICA SA;AMC PW Equity;;;;;;;;;0.00049251154742912986;;0.000011132023937498927;;0.0005036435713666288
ADVANCED MICRO DEVICES, INC.;AMD US Equity;;;;0.006061751094170701;0.0035239362806390184;;0.0011854829086269927;;;;0.0039819438589794975;;0.01475311414241621
AMGEN INC.;AMGN US Equity;;;;;;;;0.007286042539111924;;;;;0.007286042539111924
AMS AG;AMS SW Equity;;;;0.005364463503799352;;;;;;;;;0.005364463503799352
AMAZON.COM, INC.;AMZN US Equity;0.012250635241784027;;0.012826358077956383;0.017104145970544822;;;0.005993381083140313;0.009770966344292382;;;;;0.05794548671771793
ANSWEAR.COM S.A.;ANR PW Equity;0.005069612180790137;0.001313941435420333;0.016417309067073746;0.0046566820326017655;;0.0023585580172086446;;;0.0028143580481301766;;;;0.0326304607812248
AUTO PARTNER S.A.;APR PW Equity;;0.0049178708861148174;0.0018602547595023897;;0.010256512329004153;0.006496010790142642;0.005052448055963454;0.0012503701943478912;0.00268362227718328;0.00601399758393;;0.0045894478890900375;0.04312053476527867
APATOR S.A.;APT PW Equity;;0.0001360264185914588;;;;0.0029137607982581415;;;0.00060523844641149765;;;;0.003655025663261098
ARCHICOM S.A.;ARH PW Equity;;0.0038374245531705875;;;;0.006959151781512809;;;;0.013742350893697086;0.0023751528112587778;0.006338586688213719;0.033252666727852978
ARLEN S.A.;ARL PW Equity;0.0034439111007711115;;0.0027477009694468196;;0.0040731058029769074;0.003487073893661542;;;;0.003584232060010636;;;0.017336023826867017
ARTIFEX MUNDI S.A.;ART PW Equity;;0.001047403423154233;;;;;;;;;;;0.001047403423154233
ASBISC ENTERPRISES PLC;ASB PW Equity;0.0039396737879640054;0.005114464846391136;;;;;;;;;;;0.009054138634355141
ASSECO SOUTH EASTERN EUROPE S.A.;ASE PW Equity;;0.0022439258076893523;;;0.004091908334516785;0.0036349380004266;0.0032947999267135897;;0.0012297257754087247;0.003177246639666779;0.0007126381587136447;0.011851300261916715;0.030236482905052195
ASML Holding;ASML NA Equity;0.011594247903627992;;;0.005684411019752803;0.007860017338025755;;;;;;;;0.02513867626140655
ASTARTA HOLDING N.V.;AST PW Equity;;0.002667210724348122;;;;;;;;;;;0.002667210724348122
ARCTIC PAPER S.A.;ATC PW Equity;;0.001344213068520796;;0.001944222474725125;;0.0003443160880770097;;;0.0016043486216044137;;;;0.005237100252927345
ATENDE S.A.;ATD PW Equity;;0.0006286831345605665;;;;;;;;;;;0.0006286831345605665
