COMPANY;TICKER;Allianz Polska TFI S.A.;BNP Paribas TFI S.A.;ESALIENS TFI S.A.;Erste;Generali Investments TFI S.A.;ING;Investors TFI S.A.;PFR TFI S.A.;PKO TFI S.A.;PZU TFI S.A.;UNIQA TFI S.A.;TOTAL
11 BIT STUDIOS SA;11B PW Equity;;0.0006076782532781515;;;;;;;0.000378958668826899;;;0.0009866369221050506
ATAL S.A.;1AT PW Equity;0.004007198134903105;0.0011297028099037634;;;;0.0007929391349288206;;;;;0.004911950738473105;0.010841790818208794
ALCOA CORP;AA US Equity;;;;;;;;0.004074640254353743;;;;0.004074640254353743
APPLE INC.;AAPL US Equity;;;;;;;0.003490972096116043;;;;;0.003490972096116043
AB S.A.;ABE PW Equity;;0.0031565077749947346;;0.007090016413708385;0.008164192471952313;0.004812868013684391;0.004568233896554765;0.009525806319962095;0.007927957352209161;;0.006730104317162159;0.05197568656022801
ASSECO BUSINESS SOLUTIONS S.A.;ABS PW Equity;;;;;;0.0018966316419229917;0.00015876214487131994;;;;;0.0020553937867943117
BARRICK MINING CORP;ABX CN Equity;;;;0.0043848324711127423;;;0.0006430936312341608;0.007506258626235799;;;;0.012534184728582702
ASSECO POLAND S.A.;ACP PW Equity;0.006431963570715103;0.012706860303431422;;;0.005531906050299803;0.01523744207321644;0.003186140925561951;0.004597550640144938;0.015737326744380165;0.003381223949983349;0.0025288104547361573;0.06933922471246932
ADOBE INC.;ADBE US Equity;;;;0.0036884126067035256;0.002571705101536625;;;;;;;0.00626011770824015
AGNICO EAGLE MINES LTD;AEM CN Equity;;;;;;;0.001576328218393072;;;;;0.001576328218393072
AGORA S.A.;AGO PW Equity;;;;;;0.0007953310998544454;;;;0.0017134279887844675;;0.002508759088638913
AIR LIQUIDE SA;AI FP Equity;;;;;;;0.00033099160233279135;;;;;0.00033099160233279135
ALBEMARLE CORP;ALB US Equity;;;;0.005671908874974689;;0.005840151095337756;;;;;;0.011512059970312445
ALLEGRO.EU SOCIETE ANONYME;ALE PW Equity;0.06591599573560254;0.054548607467249415;0.09168359316084839;0.04894733304166805;0.035056690084015747;0.05673675107772456;0.05466068366449071;0.047049543785283845;0.04660522521551504;0.05103938962957861;0.05085269616728168;0.6030965090292587
AILLERON S.A.;ALL PW Equity;;0.0006858414397322316;;;;;;;;;;0.0006858414397322316
ALIOR BANK S.A.;ALR PW Equity;0.032820030270028653;0.0276251066991347;0.0575913250766921;0.03506838030363685;0.024097659845352863;0.027199309280784982;0.022415407572351365;0.019446224453028644;0.02251516997652258;0.025128683037224167;0.00986912075964081;0.30377641727439773
ALLIANZ SE;ALV GR Equity;;;;;;;0.0006905995467271134;;;;;0.0006905995467271134
APPLIED MATERIALS INC;AMAT US Equity;;;;;;;0.0007226102054702868;;;;;0.0007226102054702868
AMBRA SA;AMB PW Equity;;;;;;;;;0.00054638940016046605;;;0.00054638940016046605
AMICA SA;AMC PW Equity;;;;;;;;;0.0003156435335464418;;;0.0003156435335464418
ADVANCED MICRO DEVICES INC;AMD US Equity;;;;0.010848217103729507;;;0.0039705330606736017;;;;;0.01481875016440311
AMAZON.COM, INC.;AMZN US Equity;0.0045656883314908125;;0.024037672381453485;0.02015607909630483;;;0.006152004180264609;0.008408759422354886;;;;0.06332020341186862
ANSWEAR.COM S.A.;ANR PW Equity;;;0.005394858636059254;0.004430859765367343;;;;;0.001251859633599612;;;0.01107757803502621
AUTO PARTNER S.A.;APR PW Equity;0.006603276236377024;0.007070440421855668;;;0.007187917497645709;0.008914085575880467;0.0048695665419501777;;0.0026563361901983895;0.005937296184173056;0.0042789198786292865;0.04751783852670978
APATOR S.A.;APT PW Equity;;;;;;0.002845962225971452;;;0.0005584660575018865;;;0.003404428283473338
ARCHICOM S.A.;ARH PW Equity;;0.003308011558456766;;;;0.005979499455158995;;;;0.013567083522071561;0.005344543938618581;0.028199138474305903
ARLEN S.A.;ARL PW Equity;0.0018654828878983754;;0.0003509045717426834;;;0.0014005123756618845;;;;0.003538519435051968;;0.007155419270354911
ARTIFEX MUNDI S.A.;ART PW Equity;;0.0010815226055367098;;0.0036804617073099427;;;;;;;;0.0047619843128466527
ASBISC ENTERPRISES PLC;ASB PW Equity;0.01067413989467864;0.007342565673337916;;;;0.011816198672098857;;0.0033409417974692424;;;;0.033173846037584656
