COMPANY;TICKER;Allianz Polska TFI S.A.;BNP Paribas TFI S.A.;ESALIENS TFI S.A.;Generali Investments TFI S.A.;Goldman Sachs TFI S.A.;Investors TFI S.A.;Millennium TFI S.A.;Nationale-Nederlanden;PFR TFI S.A.;PKO TFI S.A.;Pekao TFI S.A.;Pocztylion;Santander TFI S.A.;UNIQA TFI S.A.;TOTAL
11 BIT STUDIOS S.A.;11B PW Equity;0.014035517500054262;0.0024313573620632867;;0.005540096135473177;0.011136685907388253;0.005652148581570774;0.012418357247341276;0.016092193288519228;0.006981926131420695;0.006920641258513127;;;0.008599885959347157;;0.08980880937169122
ATAL S.A.;1AT PW Equity;;0.0007499056889212331;;;;;0.0007772509542778712;;;;0.006530120151886878;;;;0.008057276795085982
Covestro AG;1COV GR Equity;;;;0.009403719331777817;;;;;;;0.005235896200578214;;;;0.01463961553235603
Apple Inc;AAPL US Equity;;;;0.011491458670624184;;;;;;;;;;;0.011491458670624184
PLN ABB LTD;ABBN SW Equity;;;0.000011246975170036667;;;;;;;;;;;;0.000011246975170036667
AbbVie Inc;ABBV US Equity;;;;;;;;0.01159341595039797;;;;;;;0.01159341595039797
AB S.A.;ABE PW Equity;;0.0008333346969206604;0.00047413330312868804;;0.009138071818659267;;0.002333513076962718;0.008841578218203185;0.005260377846471724;0.006570507872396064;;0.004774413486452168;0.011336245588076503;;0.04956217590727098
ASSECO BUSINESS SOLUTIONS S.A.;ABS PW Equity;;;;;0.0041002969774231585;0.0003179887323201267;;;;;;;;0.00012998172183462317;0.0045482674315779087
PLN CREDIT AGRICOLE SA;ACA FP Equity;;;0.006450754603712117;;;;;;;;;;;;0.006450754603712117
AC S.A.;ACG PW Equity;;0.00004462210412896869;;;;;;;;;;;;;0.00004462210412896869
ASSECO POLAND S.A.;ACP PW Equity;0.06286442168075309;0.015694125237683634;;0.014328201102052778;0.024766583649867857;0.017498846688395027;0.018174797621043597;0.017159759572046245;0.02265514682406334;0.012118715912473232;0.008376931446026785;0.011784055204609853;0.00003940880254916581;0.011850261177330572;0.23731125491889514
ADOBE INC.;ADBE US Equity;;;;0.013211771352061512;;;;;;;;;0.00547052439200488;;0.01868229574406639
Analog Devices, Inc.;ADI US Equity;;;;0.013401709463923897;;;;;;;;;;;0.013401709463923897
Adidas AG;ADS GR Equity;0.002340667131057418;;;;;;;;;;;;;;0.002340667131057418
PLN AGNICO EAGLE MINES LTD;AEM CN Equity;;;0.006190017675641503;;;;;;;;;;;;0.006190017675641503
Agora S.A.;AGO PW Equity;;;;;;;0.0005997947606291126;;;0.00014141774387330401;;;;;0.0007412125045024166
AIR LIQUIDE SA;AI FP Equity;;;;;;0.000173565913352981;;;;;;;;;0.000173565913352981
AKER HORIZONS AS;AKH NO Equity;;;;;;;;;;;;;;0.00000779022664786811;0.00000779022664786811
Allegro.eu S.A.;ALE PW Equity;0.08897954499848199;0.04157664777580821;0.06524864473222629;0.034557631177184516;0.04197429940385083;0.05060588302392222;0.041922502093267795;0.019164432918584928;0.04702574642353334;0.038802985297895223;0.04518050510688947;0.033021807888709254;0.03177636247025653;0.03290430343489972;0.6127412967455103
AILLERON S.A.;ALL PW Equity;;0.001560421459540299;;;;;;;;;;;;;0.001560421459540299
ALIOR BANK S.A.;ALR PW Equity;0.013364097597229092;0.010378917587631467;0.024570373186518295;0.007390906250881248;0.020203287734248256;0.01325231933241276;0.015611819411327694;0.02118261640987753;0.011205240777813688;0.01268327762981584;0.007792160883481656;0.0011735481862227938;0.012445055575589272;0.010255942410403796;0.18150956297345342
Allianz SE;ALV GR Equity;;;;0.004978565860774092;;;;;;;;;;;0.004978565860774092
APPLIED MATERIALS, INC.;AMAT US Equity;;;;;;;;;;;;;0.00005340165935638734;;0.00005340165935638734
AMBRA S.A.;AMB PW Equity;0.0034114502508602496;0.000016406511013075358;;;0.0029396541756549543;;;;;0.0023939774143031836;;0.0026976171170091445;;;0.011459105468840607
AMICA S.A.;AMC PW Equity;;0.0004917349436036285;;;;;;;0.0003418754721901538;0.0008018865494094725;0.00004759816372323085;0.0049205255076471666;;;0.006603620636573653
ADVANCED MICRO DEVICES, INC.;AMD US Equity;;;0.000006847911620491622;;;;;;;;0.0018798123736826244;;0.02059332774550874;;0.022479988030811855
Amazon.com Inc.;AMZN US Equity;;;0.015484060347867443;0.011383428731196161;;;;;;;0.005674665271665098;;0.009709694826434997;;0.0422518491771637
PLN ANSWEAR.COM S.A.;ANR PW Equity;;0.003900003290880179;0.009653650685250932;;;;;;;;;;;;0.01355365397613111
AUTO PARTNER S.A.;APR PW Equity;;0.006048990142907174;;0.009965358567422401;0.011732625552649378;0.00335194425205005;0.006212087567111207;;0.006859360394200434;0.0040476544459898833;0.0022205672928737075;0.003839146065203026;;0.007995835887149196;0.06227357016755645
APATOR S.A.;APT PW Equity;;0.00029443634630969367;;;;;;;;;;;;;0.00029443634630969367
ARCHICOM S.A;ARH PW Equity;;;;;;;;;;;;;;0.003834048818977055;0.003834048818977055
ASBISC ENTERPRISES PLC;ASB PW Equity;;0.011177078894875028;0.04337671213030511;;;;;;0.002288133711661769;;;;;;0.0568419247368419
ASSECO SOUTH EASTERN EUROPE S.A.;ASE PW Equity;;0.005851194134712234;;;0.00645387257287407;0.0020162031967637076;;;0.007643835949668109;0.0015592846929284743;0.0013594373303580923;;;0.003513905642806104;0.02839773352011079
ASML Holding;ASML NA Equity;0.008212080034198139;;;0.016361483358993532;;;;;;;;;0.009272292445995941;;0.033845855839187613
ASTARTA HOLDING N.V.;AST PW Equity;;0.002794908389657183;;;;;;;;;;;;;0.002794908389657183
ARCTIC PAPER S.A.;ATC PW Equity;;0.005896878669891893;;;0.0036605740839696954;;;;;0.010076778782457618;;;0.006226601481213544;0.006232616576924482;0.032093449594457235
ATENDE S.A.;ATD PW Equity;;0.00047961807844491375;;;;;;;;;;;;;0.00047961807844491375
ATM GRUPA S.A.;ATG PW Equity;;0.002697397180029667;;;;;;;;0.007717783699767384;;;;;0.010415180879797052
GRUPA AZOTY S.A.;ATT PW Equity;0.0017792058265357746;0.007069601653800135;0.016476132283721907;;0.006222507129419311;0.003792181820265097;0.002963574739498853;0.00773802791788394;;0.005570882979904717;0.009335965371197519;;;0.010000493919709024;0.07094857364193628
ACTIVISION BLIZZARD, INC.;ATVI US Equity;;;0.008093359288668152;;;;;;;;;;0.007448243748694359;;0.01554160303736251
Barrick Gold Corp;B US Equity;0.017904998928638056;;0.0031086252185136043;;;;;;;;;;;;0.02101362414715166
Bank of America Corporation;BAC US Equity;;;;0.007299812123833097;;;;;;;;;;;0.007299812123833097
PLN BAKKAFROST P/F;BAKKA NO Equity;;;0.005115262800373499;;;;;;;;;;;;0.005115262800373499
BUDIMEX S.A.;BDX PW Equity;;0.013728734037012702;;0.003634533271161435;0.02885542250097768;0.024187967049566357;0.012461624188746014;0.0020178580192129753;0.033075261858724843;0.014273548530209266;0.013047198502600312;0.002595059301949627;0.009128362219517383;0.013168341201555858;0.17017391068123448
BLOOM ENERGY CORP;BE US Equity;;;;;;;;;;;;;0.005670198060904189;;0.005670198060904189
