COMPANY;TICKER;Allianz Polska TFI S.A.;BNP Paribas TFI S.A.;Generali Investments TFI S.A.;Goldman Sachs TFI S.A.;Investors TFI S.A.;Millennium TFI S.A.;Nationale-Nederlanden;PFR TFI S.A.;PKO TFI S.A.;Pekao TFI S.A.;Santander TFI S.A.;UNIQA TFI S.A.;TOTAL
11 BIT STUDIOS S.A.;11B PW Equity;0.7%;0.4%;0.5%;0.5%;0.3%;0.7%;;0.3%;0.1%;0.4%;0.7%;0.3%;4.9%
ATAL S.A.;1AT PW Equity;0.5%;0.0%;;0.4%;;0.2%;;;;0.6%;0.8%;0.7%;3.2%
Covestro AG;1COV GR Equity;;;0.4%;;;;;;;;;;0.4%
Apple Inc;AAPL US Equity;;;1.2%;;0.4%;;0.1%;;;;;;1.7%
AB S.A.;ABE PW Equity;;0.1%;;0.7%;;0.5%;;0.6%;0.9%;;0.7%;;3.4%
ASSECO BUSINESS SOLUTIONS S.A.;ABS PW Equity;;;;0.3%;0.0%;;;0.4%;0.3%;;;;1.0%
Abbott Laboratories;ABT US Equity;;;0.4%;;;;;;;;;;0.4%
AC S.A.;ACG PW Equity;;0.0%;;;;;;;;;;;0.0%
ASSECO POLAND S.A.;ACP PW Equity;3.0%;0.6%;1.5%;0.8%;0.7%;0.9%;2.5%;0.9%;1.1%;;;0.9%;12.9%
Adobe Inc;ADBE US Equity;;;0.5%;;;;;;;;;;0.5%
Analog Devices, Inc.;ADI US Equity;;;0.4%;;;;;;;;;;0.4%
Adidas AG;ADS GR Equity;0.5%;;;;;;;;;;;;0.5%
AUTODESK INC;ADSK US Equity;;;;;0.1%;;;;;;;;0.1%
Agnico Eagle Mines Ltd;AEM CN Equity;;;;;;;0.4%;;;;;;0.4%
AGCO CORP;AGCO US Equity;;;;;0.4%;;;;;;;;0.4%
Agora S.A.;AGO PW Equity;;;;;;0.1%;;;0.0%;;;;0.1%
AIR LIQUIDE SA;AI FP Equity;;;;;0.3%;;;;;;;;0.3%
ALBEMARLE CORP;ALB US Equity;;;;;;;;;;;0.9%;;0.9%
ALLEGRO.EU SOCIETE ANONYME;ALE PW Equity;6.3%;4.7%;5.0%;3.5%;2.3%;5.3%;2.6%;5.8%;5.0%;1.3%;4.2%;3.5%;49.5%
ALFEN N.V.;ALFEN NA Equity;;;;;;;;;;;0.8%;;0.8%
AILLERON S.A.;ALL PW Equity;;0.1%;;;;;;;;;;;0.1%
ALIOR BANK S.A.;ALR PW Equity;1.5%;1.7%;2.0%;3.9%;1.3%;2.2%;2.9%;1.9%;2.4%;1.4%;1.2%;3.0%;25.5%
Allianz SE;ALV GR Equity;;;0.5%;;;;0.5%;;;;;;1.0%
Applied Materials Inc.;AMAT US Equity;;;;;;;0.0%;;;;0.0%;;0.0%
