COMPANY;TICKER;Allianz Polska TFI S.A.;BNP Paribas TFI S.A.;ESALIENS TFI S.A.;Generali Investments TFI S.A.;Goldman Sachs TFI S.A.;Investors TFI S.A.;Millennium TFI S.A.;Nationale-Nederlanden;PFR TFI S.A.;PKO TFI S.A.;PZU TFI S.A.;Pekao TFI S.A.;Pocztylion;Santander TFI S.A.;UNIQA TFI S.A.;TOTAL
11 BIT STUDIOS SA;11B PW Equity;;0.001288280326862775;;0.0034472696284280385;;;;;;0.0009740500612407624;;;;;;0.005709600016531575
ATAL S.A.;1AT PW Equity;0.0006575157739787676;0.0015821676995086345;0.006635788732825182;;0.006030074514664849;;0.0015958029945884863;0.005764314720178162;;;;0.002602239953743702;;0.006865120365682322;0.006046049631879382;0.037779074387049496
Anglo American PLC;AAL LN Equity;;;;;;;;;;;0.012420896987382024;;;;;0.012420896987382024
AAON INC;AAON US Equity;;;;;;0.0010525774722988973;;;;;;;;;;0.0010525774722988973
Apple Inc;AAPL US Equity;;;;0.02069489132123382;;0.0041362704116672966;;0.0009254670896194366;;;0.012565818537216484;;;;;0.038322447359737035
PLN ABB LTD;ABBN SW Equity;;;0.000007472755128072778;;;;;;;;;;;;;0.000007472755128072778
AB S.A.;ABE PW Equity;;0.0010471857030599951;0.00655985539622258;;0.0025249690450549706;;0.005317078269319717;0.006760353112259446;0.005036848977331891;0.009096123365061027;;;0.01509351648797341;;;0.05143593035628304
ASSECO BUSINESS SOLUTIONS S.A.;ABS PW Equity;;;;;0.0024839687942350935;0.0001856495224255875;;;;0.0027455922718883113;;;;;;0.005415210588548993
Abbott Laboratories;ABT US Equity;;;;0.005654147597053039;;;;;;;;;;;;0.005654147597053039
PLN CREDIT AGRICOLE SA;ACA FP Equity;;;0.003173523874200476;;;;;;;;;;;;;0.003173523874200476
AC S.A.;ACG PW Equity;;0.00001686042554692615;;;;;;;;;;;;;;0.00001686042554692615
Accenture PLC;ACN US Equity;;;;0.005607380505481118;;;;;;;;;;;;0.005607380505481118
ASSECO POLAND S.A.;ACP PW Equity;;0.011675413876781393;;0.013055721617695288;0.016535478473549508;0.01263360888861551;0.012357037985042783;0.0008976400778012787;0.009457478806523429;0.010711622338024667;;;0.013896760591311896;;0.01002814521423054;0.11124890786957632
ADOBE INC.;ADBE US Equity;;;;0.006424018311164655;;;;0.014999052554940182;;;0.008865418287699381;;;0.006988045853603325;;0.037276535007407547
Analog Devices, Inc.;ADI US Equity;;;;0.006480075173912279;;;;;;;;;;;;0.006480075173912279
Adidas AG;ADS GR Equity;0.006635698052096414;;;;;;;;;;0.010723144531591848;;;;;0.017358842583688263
AUTODESK INC;ADSK US Equity;;;;;;0.0009764056330657606;;;;;;;;;;0.0009764056330657606
AGNICO EAGLE MINES LTD;AEM CN Equity;;;0.002913039034019983;;;0.002650911535361756;;;;;;;;;;0.005563950569381739
Agora S.A.;AGO PW Equity;;;;;;;0.003507127088790148;;;0.00003665473669006321;0.003203676386678699;;;;;0.00674745821215891
AIR LIQUIDE SA;AI FP Equity;;;;;;0.0020004962592791806;;;;;;;;;;0.0020004962592791806
Aixtron SE;AIXA GR Equity;;;;;;;;;;;;0.008250078874301939;;;;0.008250078874301939
