data;instytucja;fundusz;DATA_fundusz;typ_aktywa;emitent;isin;waluta;liczba_sztuk;wartosc_pln;TYP_akywo_std
2025-12-30;PFR TFI S.A.;PFR PPK 2025- PORTFEL;2025;Akcje;AB S.A.;PLAB00000019;PLN;107;11534.6;akcje
2025-12-30;PFR TFI S.A.;PFR PPK 2025- PORTFEL;2025;Akcje;ALIOR BANK S.A.;PLALIOR00045;PLN;780;86151;akcje
2025-12-30;PFR TFI S.A.;PFR PPK 2025- PORTFEL;2025;Akcje;Allegro.eu société anonyme;LU2237380790;PLN;4928;152866.56;akcje
2025-12-30;PFR TFI S.A.;PFR PPK 2025- PORTFEL;2025;Akcje;AMAZON.COM INC.;US0231351067;USD;35;29246.69;akcje
2025-12-30;PFR TFI S.A.;PFR PPK 2025- PORTFEL;2025;Akcje;ASSECO POLAND S.A.;PLSOFTB00016;PLN;328;74915.2;akcje
2025-12-30;PFR TFI S.A.;PFR PPK 2025- PORTFEL;2025;Akcje;ASSECO SOUTH EASTERN EUROPE S.A.;PLASSEE00014;PLN;155;9765;akcje
2025-12-30;PFR TFI S.A.;PFR PPK 2025- PORTFEL;2025;Akcje;BARRICK MINING CORP;CA06849F1080;CAD;241;38348.27;akcje
2025-12-30;PFR TFI S.A.;PFR PPK 2025- PORTFEL;2025;Akcje;BENEFIT SYSTEMS S.A.;PLBNFTS00018;PLN;27;94770;akcje
2025-12-30;PFR TFI S.A.;PFR PPK 2025- PORTFEL;2025;Akcje;BUDIMEX S.A.;PLBUDMX00013;PLN;76;48472.8;akcje
2025-12-30;PFR TFI S.A.;PFR PPK 2025- PORTFEL;2025;Akcje;CAPTOR THERAPEUTICS S.A.;PLCPTRT00014;PLN;492;35424;akcje
2025-12-30;PFR TFI S.A.;PFR PPK 2025- PORTFEL;2025;Akcje;CCC S.A.;PLCCC0000016;PLN;458;54776.8;akcje
2025-12-30;PFR TFI S.A.;PFR PPK 2025- PORTFEL;2025;Akcje;CD PROJEKT S.A.;PLOPTTC00011;PLN;429;103389;akcje
2025-12-30;PFR TFI S.A.;PFR PPK 2025- PORTFEL;2025;Akcje;CREOTECH INSTRUMENTS S.A.;PLCRTCH00017;PLN;52;19968;akcje
2025-12-30;PFR TFI S.A.;PFR PPK 2025- PORTFEL;2025;Akcje;CYBER FOLKS S.A.;PLR220000018;PLN;283;58298;akcje
2025-12-30;PFR TFI S.A.;PFR PPK 2025- PORTFEL;2025;Akcje;CYFROWY POLSAT S.A.;PLCFRPT00013;PLN;1515;18483;akcje
2025-12-30;PFR TFI S.A.;PFR PPK 2025- PORTFEL;2025;Akcje;Develia S.A.;PLLCCRP00017;PLN;8471;71579.95;akcje
2025-12-30;PFR TFI S.A.;PFR PPK 2025- PORTFEL;2025;Akcje;DIAGNOSTYKA S.A.;PLDGNST00012;PLN;112;19152;akcje
2025-12-30;PFR TFI S.A.;PFR PPK 2025- PORTFEL;2025;Akcje;DINO POLSKA S.A.;PLDINPL00011;PLN;2910;120328.5;akcje
2025-12-30;PFR TFI S.A.;PFR PPK 2025- PORTFEL;2025;Akcje;DOM DEVELOPMENT S.A.;PLDMDVL00012;PLN;67;17085;akcje
2025-12-30;PFR TFI S.A.;PFR PPK 2025- PORTFEL;2025;Akcje;ECHO INVESTMENT S.A.;PLECHPS00019;PLN;1184;5624;akcje
2025-12-30;PFR TFI S.A.;PFR PPK 2025- PORTFEL;2025;Akcje;ENEA S.A.;PLENEA000013;PLN;1517;29551.16;akcje
2025-12-30;PFR TFI S.A.;PFR PPK 2025- PORTFEL;2025;Akcje;EUROCASH S.A.;PLEURCH00011;PLN;470;2944.55;akcje
2025-12-30;PFR TFI S.A.;PFR PPK 2025- PORTFEL;2025;Akcje;FREEPORT-MCMORAN INC;US35671D8570;USD;236;43600.29;akcje
2025-12-30;PFR TFI S.A.;PFR PPK 2025- PORTFEL;2025;Akcje;BANK HANDLOWY W WARSZAWIE S.A.;PLBH00000012;PLN;417;44035.2;akcje
2025-12-30;PFR TFI S.A.;PFR PPK 2025- PORTFEL;2025;Akcje;ING BANK ŚLĄSKI S.A.;PLBSK0000017;PLN;245;83667.5;akcje
2025-12-30;PFR TFI S.A.;PFR PPK 2025- PORTFEL;2025;Akcje;GRUPA KĘTY S.A.;PLKETY000011;PLN;65;59377.5;akcje
2025-12-30;PFR TFI S.A.;PFR PPK 2025- PORTFEL;2025;Akcje;KGHM POLSKA MIEDŹ S.A.;PLKGHM000017;PLN;1146;321796.8;akcje
