COMPANY;TICKER;Allianz Polska TFI S.A.;BNP Paribas TFI S.A.;ESALIENS TFI S.A.;Generali Investments TFI S.A.;Goldman Sachs TFI S.A.;Investors TFI S.A.;Millennium TFI S.A.;Nationale-Nederlanden;PFR TFI S.A.;PKO TFI S.A.;PZU TFI S.A.;Pekao TFI S.A.;Pocztylion;Santander TFI S.A.;UNIQA TFI S.A.;Vienna Life;TOTAL
11 BIT STUDIOS SA;11B PW Equity;;0.0007759036466640216;;;;;;;;0.00043645329383145914;;;;;;0.000001865049563347762;0.0012142219900588286
ATAL S.A.;1AT PW Equity;;0.0012183124111230072;;;0.0008121518168496723;;0.0011055230717495113;;;;;0.0017858343695733103;;0.004454322261636839;0.0029126833654954426;;0.012288827296427782
Anglo American Plc.;AAL LN Equity;;;;;;;;;;;0.008202357812694662;;;;;;0.008202357812694662
APPLE INC.;AAPL US Equity;;;;;;0.0031224984768141106;;0.00059095683728679536;;;;;;;;;0.003713455314100906
AB S.A.;ABE PW Equity;0.0009619399277966466;0.003042686393587143;;0.00765289231381989;0.0018994564427355987;0.003640584052395898;0.005468765800260287;;0.0039128008666235814;0.007549283595415995;;;0.012922426187926013;0.008474321502242175;0.002134971042030765;0.0034833519809142865;0.06114348010574828
ASSECO BUSINESS SOLUTIONS S.A.;ABS PW Equity;;;;;0.0021879816129642807;0.00019934162873175405;;;;0.0023515629360170487;;;;;;;0.004738886177713083
BARRICK MINING CORP;ABX CN Equity;;;;;;0.0013575588262000565;;;0.010096131361849334;;;;;;;;0.01145369018804939
ASSECO POLAND S.A.;ACP PW Equity;0.017826946714449838;0.013809136171136642;;0.007821650458378092;0.022369433636243974;0.00214781278424234;0.019131304519194814;0.024524059171558723;0.019778727037714179;0.02119362949347618;;;0.026366602351511106;;0.011133817919704383;0.012774583895771277;0.19887770415338153
ADOBE INC.;ADBE US Equity;;;;0.0037570722910207804;;;;;;;;;;0.004519501465853291;;;0.008276573756874072
Analog Devices, Inc.;ADI US Equity;;;;0.00619666807671337;;;;;;;;;;;;;0.00619666807671337
AGNICO EAGLE MINES LTD;AEM CN Equity;;;;;;0.003539197865132328;;0.0039701304574568774;;;;;;;;;0.007509328322589206
ALAMOS GOLD INC-CLASS A;AGI CN Equity;;;;;;0.000639203266597758;;;;;;;;;;;0.000639203266597758
Agora S.A.;AGO PW Equity;;;;;0.0008829158611680278;;0.004432764675364076;;;;0.001823028624024209;;;;;;0.007138709160556312
AIR LIQUIDE SA;AI FP Equity;;;;;;0.0005584407172043749;;;;;;;;;;;0.0005584407172043749
Aixtron SE;AIXA GR Equity;;;;;;;;;;;;0.009251263954029605;;;;;0.009251263954029605
ALBEMARLE CORP;ALB US Equity;;;;;0.007227067923335334;;;;;;;;;0.005412315379422123;;;0.012639383302757459
ALLEGRO.EU SOCIETE ANONYME;ALE PW Equity;0.031504454615306967;0.037893868679658183;0.019300877346077703;0.04246696697108463;0.039295820430897384;0.041304212458350635;0.03898280196189474;0.026164110736937563;0.03793126622114423;0.04918560623775649;0.03627105474666482;0.04944394623792644;0.032394132123346533;0.034539653253087144;0.003921728015801221;0.033915767044198804;0.5545162670801335
AILLERON S.A.;ALL PW Equity;;0.0004181608774641069;;;;;;;;;;;;;;;0.0004181608774641069
ALIOR BANK S.A.;ALR PW Equity;0.016613856172815407;0.018905756486714258;0.06470863885033228;0.02522493676445749;0.026955465195163457;0.020989241246074988;0.024269879961826972;0.02905525932147447;0.022742787652936594;0.024985732134260235;0.022915060914420504;0.04135189394883754;0.014805370228143782;0.03316539769323153;0.00557425908340646;0.012184061217088382;0.40444759687118434
ALLIANZ SE;ALV GR Equity;;;;;;0.0007822186376163852;;0.005056001634751404;;;;;;;;;0.005838220272367789
Applied Materials Inc.;AMAT US Equity;;;;;;;;0.00022016040666542426;;;;;;;;;0.00022016040666542426
AMBRA SA;AMB PW Equity;;;;;;;;;;0.00059834155260893696;;;0.0044214907594781594;;;0.0013469255247028886;0.006366757836789985
AMICA SA;AMC PW Equity;;;;;;;;;;0.0004444172906291019;;0.000009611082745355601;0.005392726736063893;;;;0.005846755109438351
ADVANCED MICRO DEVICES INC;AMD US Equity;;;;;;0.0012335608218261693;;0.005087021373145216;;;;;;0.010733937440169856;;;0.01705451963514124
AMAZON.COM, INC.;AMZN US Equity;0.010351573876369142;;0.014331778148409244;;;0.005342078336886927;;0.007997672464508297;0.009130580516614392;;0.008890612529866442;;;0.016509958965911504;;;0.072554254838565955
ANSWEAR.COM S.A.;ANR PW Equity;0.003705296429753928;0.0010273206751721228;0.022912157704871743;;0.0019621831645463458;;;;;0.002172840478637048;;;;0.004367469899328229;;;0.03614726835230942
AUTO PARTNER S.A.;APR PW Equity;;0.003425796901457156;0.001805330044542396;0.006819346510750957;0.004272911363907719;0.0035007089901335153;0.005273093211019934;;;0.0020056702904044382;0.0042145576686899655;;0.004585390458264797;;0.0020360264258281693;0.000030977032213913916;0.03796980889721296
APATOR S.A.;APT PW Equity;;;;;0.002752755617868011;;;;;0.00059500019888994934;;;;;;;0.003347755816757961
ARCHICOM S.A.;ARH PW Equity;;0.003391671958608302;;;0.00586982264178506;;;;;;0.012770026498429163;0.0019833879785851818;;;0.0009594718850525363;;0.024974380962460243
ARLEN S.A.;ARL PW Equity;0.002848597653145055;;0.0037662851320294755;0.002742097809370983;0.0023226147352789556;;;;;;0.0049043236004341895;;;;;;0.016583918930258659
ARTIFEX MUNDI S.A.;ART PW Equity;;0.0007763526649780633;;;;;;;;;;;;;;;0.0007763526649780633
ASBISC ENTERPRISES PLC;ASB PW Equity;0.0042349652664690407;0.005881276361924431;;;;;;;;;;;;;;0.006451211104835605;0.016567452733229078
ASSECO SOUTH EASTERN EUROPE S.A.;ASE PW Equity;;0.0015261458966805613;;0.0026754787239968686;0.0023453735724549024;0.002244996940107877;;;0.002583775881568251;0.0008258749827241833;0.0034026989905505683;0.000457929648485213;;;0.003700689707803424;0.015593483460091455;0.035356447804463302
ASML HOLDING N.V.;ASML NA Equity;0.0032732314212972713;;;0.006327687418427834;;;;0.010193120230614738;;;;;;0.006706233266212603;;;0.026500272336552446
ASTARTA HOLDING N.V.;AST PW Equity;;0.0017120745021223113;;;;;;;;;;;;;;;0.0017120745021223113
ARCTIC PAPER S.A.;ATC PW Equity;;0.0008737995175280167;;;0.0002135972624693607;;;;;0.0010298190173227209;;;;0.0009964600866764778;;0.00035633267368567846;0.003470008557682255
ATENDE S.A.;ATD PW Equity;;0.0004277061087840049;;;;;;;;;;;;;;;0.0004277061087840049
GRUPA SA;ATG PW Equity;;0.0009591165893424479;;;;;;;;0.00288251065473551;;;;;;0.0025791489461879913;0.006420776190265949
GRUPA AZOTY S.A.;ATT PW Equity;;0.003057328386887897;;;0.0007843086893315593;;;;;0.0015228600241410284;;;;;;;0.005364497100360485
BROADCOM INC;AVGO US Equity;;;;;;0.0014820839988376594;;0.01271288589211499;;;;;;0.008661140688973905;;;0.022856110579926554
Axon Enterprise Inc;AXON US Equity;;;;;;;;;;;0.007997029911845995;;;;;;0.007997029911845995
BAE Systems PLC;BA/ LN Equity;;;;;;;;;;;0.00224724217118736;;;;;;0.00224724217118736
BABCOCK INTERNATIONAL GROUP PLC;BAB LN Equity;;;;;;0.0025808664694143013;;;;;;;;;;;0.0025808664694143013
BANK OF AMERICA CORP;BAC US Equity;;;;;;0.002466195500024942;;0.002760206073743123;;;;;;;;;0.005226401573768065
BARCLAYS PLC;BARC LN Equity;;;;;0.0048570612276734804;;;;;;;;;;;;0.0048570612276734804
Banco Bilbao Vizcaya Argentaria S.A.;BBVA SM Equity;;;;;;;;0.004130990654732342;;;;;;;;;0.004130990654732342
Banco Comercial Portugues S.A.;BCP PL Equity;;;;;;;;0.004972599369473669;;;;;;;;;0.004972599369473669
Bioceltix SA;BCX PW Equity;;;;0.0020981553069754508;0.0010300212462126955;;;;;;0.004992794610586832;;;;;;0.008120971163774978
BUDIMEX S.A.;BDX PW Equity;0.01800262239913579;0.019058847260304355;;0.006203685567678489;0.009907789814547256;0.017338373907262026;0.012333390303736158;0.011898446098470805;0.01280480130758405;0.015120656833182518;0.015426428605910087;;;;0.005103336887970163;0.00481446968141377;0.14801284866719545
BEFESA SA;BFSA GR Equity;;;;;0.007542389024790704;;;;;;;;;;;;0.007542389024790704
BENEFIT SYSTEMS S.A.;BFT PW Equity;0.02703169623493225;0.031773254330891683;0.09311223456974608;0.032331053194846477;0.02178273408119447;0.024546958207239142;0.030030800118132994;0.03401537508058471;0.025059628099742035;0.02547342729754404;0.03264239891780573;0.05063126628324255;0.028887522877214655;0.04147969503538726;0.020230372025126284;0.04302961696160166;0.562058033315232
BHP Group Limited;BHP AU Equity;;;;;;;;;;;;0.00303115680497339;;;;;0.00303115680497339
