instytucja;count_2Q25;count_2Q26;diff_count;pct_change_count;flags;dups_2Q25;dups_2Q26;missing_any_2Q25;missing_any_2Q26;zero_wartosc_2Q25;zero_wartosc_2Q26
Allianz Polska TFI S.A.;1376;1299;-77;-5.59593023255814;;0;0;360;155;0;0
BNP Paribas TFI S.A.;1431;1237;-194;-13.55695317959469;;0;0;0;0;0;0
ESALIENS TFI S.A.;495;526;31;6.262626262626263;;0;0;0;0;0;4
Erste;1000;1003;3;0.3;;0;0;21;34;0;0
Generali Investments TFI S.A.;870;874;4;0.45977011494252873;;0;0;0;0;0;0
ING;0;1947;1947;;only_in_2Q26;0;0;0;111;0;0
Investors TFI S.A.;1670;2010;340;20.35928143712575;;0;0;124;65;0;0
Millennium TFI S.A.;0;888;888;;only_in_2Q26;0;40;0;888;0;888
PFR TFI S.A.;998;1010;12;1.2024048096192386;;0;0;78;95;0;0
PKO TFI S.A.;1422;1472;50;3.5161744022503516;;18;18;55;91;47;99
PZU TFI S.A.;1593;1593;0;0.0;;0;0;112;112;10;10
Pekao TFI S.A.;1136;0;-1136;-100.0;"curr_count_outlier;only_in_2Q25";0;0;0;0;0;0
UNIQA TFI S.A.;591;919;328;55.499153976311334;;0;0;31;33;0;0
