instytucja;4Q23;4Q24;4Q25;24_vs_23;25_vs_24;25_vs_23
Goldman Sachs TFI S.A.;1521;1553;1956;32;403;435
PZU TFI S.A.;462;601;1572;139;971;1110
Investors TFI S.A.;1365;1542;1547;177;5;182
PKO TFI S.A.;1318;1318;1471;0;153;153
BNP Paribas TFI S.A.;1438;1425;1259;-13;-166;-179
Nationale-Nederlanden;1174;1227;1174;53;-53;0
Allianz Polska TFI S.A.;920;1237;1168;317;-69;248
Pekao TFI S.A.;1226;1103;1152;-123;49;-74
UNIQA TFI S.A.;999;1012;1104;13;92;105
Santander TFI S.A.;987;976;979;-11;3;-8
Generali Investments TFI S.A.;1002;1104;881;102;-223;-121
PFR TFI S.A.;892;827;829;-65;2;-63
Millennium TFI S.A.;746;783;757;37;-26;11
ESALIENS TFI S.A.;0;784;492;784;-292;492
