quarter;data;instytucja;fundusz;DATA_fundusz;typ_aktywa;emitent;isin;waluta;liczba_sztuk;wartosc_pln;TYP_aktywo_std;equity_nazwa;fund_total_pln;fund_pct;liczba_sztuk_chg;liczba_sztuk_chg_pct;wartosc_pln_chg;wartosc_pln_chg_pct
4Q23;2023-12-30;BNP Paribas TFI S.A.;BNP_Paribas_PPK_2065;2065.0;Akcje;BANK MILLENNIUM S.A.;PLBIG0000016;PLN;471.0;3935.21;akcje;MIL PW Equity;652813.36;0.6%;;%;;%
4Q23;2023-12-30;BNP Paribas TFI S.A.;BNP_Paribas_PPK_2065;2065.0;Akcje;MBANK S.A.;PLBRE0000012;PLN;8.0;4280.0;akcje;MBK PW Equity;652813.36;0.7%;;%;;%
4Q23;2023-12-30;BNP Paribas TFI S.A.;BNP_Paribas_PPK_2065;2065.0;Akcje;ING BANK ŚLĄSKI S.A.;PLBSK0000017;PLN;35.0;8960.0;akcje;ING PW Equity;652813.36;1.4%;;%;;%
4Q23;2023-12-30;BNP Paribas TFI S.A.;BNP_Paribas_PPK_2065;2065.0;Akcje;BUDIMEX S.A.;PLBUDMX00013;PLN;8.0;5008.0;akcje;BDX PW Equity;652813.36;0.8%;;%;;%
4Q23;2023-12-30;BNP Paribas TFI S.A.;BNP_Paribas_PPK_2065;2065.0;Akcje;CD PROJEKT S.A.;PLOPTTC00011;PLN;59.0;6785.0;akcje;CDR PW Equity;652813.36;1.0%;;%;;%
4Q23;2023-12-30;BNP Paribas TFI S.A.;BNP_Paribas_PPK_2065;2065.0;Akcje;ECHO INVESTMENT S.A.;PLECHPS00019;PLN;71.0;284.0;akcje;ECH PW Equity;652813.36;0.0%;;%;;%
4Q23;2023-12-30;BNP Paribas TFI S.A.;BNP_Paribas_PPK_2065;2065.0;Akcje;ENEA S.A.;PLENEA000013;PLN;7.0;64.19;akcje;ENA PW Equity;652813.36;0.0%;;%;;%
4Q23;2023-12-30;BNP Paribas TFI S.A.;BNP_Paribas_PPK_2065;2065.0;Akcje;EUROCASH S.A.;PLEURCH00011;PLN;57.0;949.05;akcje;EUR PW Equity;652813.36;0.1%;;%;;%
4Q23;2023-12-30;BNP Paribas TFI S.A.;BNP_Paribas_PPK_2065;2065.0;Akcje;GIEŁDA PAPIERÓW WARTOŚCIOWYCH W WARSZAWIE S.A.;PLGPW0000017;PLN;18.0;765.0;akcje;GPW PW Equity;652813.36;0.1%;;%;;%
4Q23;2023-12-30;BNP Paribas TFI S.A.;BNP_Paribas_PPK_2065;2065.0;Akcje;BANK HANDLOWY W WARSZAWIE S.A.;PLBH00000012;PLN;27.0;2737.8;akcje;BHW PW Equity;652813.36;0.4%;;%;;%
4Q23;2023-12-30;BNP Paribas TFI S.A.;BNP_Paribas_PPK_2065;2065.0;Akcje;JASTRZĘBSKA SPÓŁKA WĘGLOWA S.A.;PLJSW0000015;PLN;17.0;714.51;akcje;JSW PW Equity;652813.36;0.1%;;%;;%
4Q23;2023-12-30;BNP Paribas TFI S.A.;BNP_Paribas_PPK_2065;2065.0;Akcje;K2 HOLDING SA;PLK2ITR00010;PLN;11.0;396.0;akcje;FAB PW Equity;652813.36;0.1%;;%;;%
4Q23;2023-12-30;BNP Paribas TFI S.A.;BNP_Paribas_PPK_2065;2065.0;Akcje;GRUPA KĘTY S.A.;PLKETY000011;PLN;8.0;5960.0;akcje;KTY PW Equity;652813.36;0.9%;;%;;%
4Q23;2023-12-30;BNP Paribas TFI S.A.;BNP_Paribas_PPK_2065;2065.0;Akcje;KGHM POLSKA MIEDŹ S.A.;PLKGHM000017;PLN;93.0;11411.1;akcje;KGH PW Equity;652813.36;1.7%;;%;;%
4Q23;2023-12-30;BNP Paribas TFI S.A.;BNP_Paribas_PPK_2065;2065.0;Akcje;KRUK S.A.;PLKRK0000010;PLN;24.0;11448.0;akcje;KRU PW Equity;652813.36;1.8%;;%;;%
4Q23;2023-12-30;BNP Paribas TFI S.A.;BNP_Paribas_PPK_2065;2065.0;Akcje;LPP S.A.;PLLPP0000011;PLN;2.0;32380.0;akcje;LPP PW Equity;652813.36;5.0%;;%;;%
4Q23;2023-12-30;BNP Paribas TFI S.A.;BNP_Paribas_PPK_2065;2065.0;Akcje;LUBELSKI WĘGIEL BOGDANKA S.A.;PLLWBGD00016;PLN;8.0;272.16;akcje;LWB PW Equity;652813.36;0.0%;;%;;%
4Q23;2023-12-30;BNP Paribas TFI S.A.;BNP_Paribas_PPK_2065;2065.0;Akcje;BANK POLSKA KASA OPIEKI S.A.;PLPEKAO00016;PLN;173.0;26304.65;akcje;PEO PW Equity;652813.36;4.0%;;%;;%
4Q23;2023-12-30;BNP Paribas TFI S.A.;BNP_Paribas_PPK_2065;2065.0;Akcje;ORLEN S.A.;PLPKN0000018;PLN;523.0;34256.5;akcje;PKN PW Equity;652813.36;5.2%;;%;;%
4Q23;2023-12-30;BNP Paribas TFI S.A.;BNP_Paribas_PPK_2065;2065.0;Akcje;POWSZECHNA KASA OSZCZĘDNOŚCI BANK POLSKI S.A.;PLPKO0000016;PLN;816.0;41061.12;akcje;PKO PW Equity;652813.36;6.3%;;%;;%
4Q23;2023-12-30;BNP Paribas TFI S.A.;BNP_Paribas_PPK_2065;2065.0;Akcje;CYFROWY POLSAT S.A.;PLCFRPT00013;PLN;96.0;1183.68;akcje;CPS PW Equity;652813.36;0.2%;;%;;%
4Q23;2023-12-30;BNP Paribas TFI S.A.;BNP_Paribas_PPK_2065;2065.0;Akcje;POWSZECHNY ZAKŁAD UBEZPIECZEŃ S.A.;PLPZU0000011;PLN;417.0;19711.59;akcje;PZU PW Equity;652813.36;3.0%;;%;;%
4Q23;2023-12-30;BNP Paribas TFI S.A.;BNP_Paribas_PPK_2065;2065.0;Akcje;ASSECO POLAND S.A.;PLSOFTB00016;PLN;32.0;2339.2;akcje;ACP PW Equity;652813.36;0.4%;;%;;%
4Q23;2023-12-30;BNP Paribas TFI S.A.;BNP_Paribas_PPK_2065;2065.0;Akcje;ORANGE POLSKA S.A.;PLTLKPL00017;PLN;409.0;3329.26;akcje;OPL PW Equity;652813.36;0.5%;;%;;%
4Q23;2023-12-30;BNP Paribas TFI S.A.;BNP_Paribas_PPK_2065;2065.0;Akcje;TAURON POLSKA ENERGIA S.A.;PLTAURN00011;PLN;776.0;2897.58;akcje;TPE PW Equity;652813.36;0.4%;;%;;%
4Q23;2023-12-30;BNP Paribas TFI S.A.;BNP_Paribas_PPK_2065;2065.0;Akcje;UNIBEP S.A.;PLUNBEP00015;PLN;68.0;620.16;akcje;UNI PW Equity;652813.36;0.1%;;%;;%
4Q23;2023-12-30;BNP Paribas TFI S.A.;BNP_Paribas_PPK_2065;2065.0;Akcje;GIEŁDA PRAW MAJĄTKOWYCH VINDEXUS S.A.;PLVNDEX00013;PLN;2.0;21.2;akcje;VIN PW Equity;652813.36;0.0%;;%;;%
4Q23;2023-12-30;BNP Paribas TFI S.A.;BNP_Paribas_PPK_2065;2065.0;Akcje;WIELTON S.A.;PLWELTN00012;PLN;66.0;627.0;akcje;WLT PW Equity;652813.36;0.1%;;%;;%
4Q23;2023-12-30;BNP Paribas TFI S.A.;BNP_Paribas_PPK_2065;2065.0;Akcje;ASBISC ENTERPRISES PLC;CY1000031710;PLN;36.0;1026.0;akcje;ASB PW Equity;652813.36;0.2%;;%;;%
4Q23;2023-12-30;BNP Paribas TFI S.A.;BNP_Paribas_PPK_2065;2065.0;Akcje;ERBUD S.A.;PLERBUD00012;PLN;22.0;941.6;akcje;ERB PW Equity;652813.36;0.1%;;%;;%
4Q23;2023-12-30;BNP Paribas TFI S.A.;BNP_Paribas_PPK_2065;2065.0;Akcje;POLENERGIA S.A.;PLPLSEP00013;PLN;40.0;3072.0;akcje;PEP PW Equity;652813.36;0.5%;;%;;%
4Q23;2023-12-30;BNP Paribas TFI S.A.;BNP_Paribas_PPK_2065;2065.0;Akcje;GRUPA AZOTY ZAKŁADY AZOTOWE PUŁAWY S.A.;PLZAPUL00057;PLN;7.0;429.8;akcje;ZAP PW Equity;652813.36;0.1%;;%;;%
4Q23;2023-12-30;BNP Paribas TFI S.A.;BNP_Paribas_PPK_2065;2065.0;Akcje;OEX S.A.;PLTELL000023;PLN;1.0;46.4;akcje;;652813.36;0.0%;;%;;%
4Q23;2023-12-30;BNP Paribas TFI S.A.;BNP_Paribas_PPK_2065;2065.0;Akcje;LSI SOFTWARE S.A.;PLLSSFT00016;PLN;15.0;228.0;akcje;LSI PW Equity;652813.36;0.0%;;%;;%
4Q23;2023-12-30;BNP Paribas TFI S.A.;BNP_Paribas_PPK_2065;2065.0;Akcje;ZESPÓŁ ELEKTROWNI PĄTNÓW-ADAMÓW-KONIN S.A.;PLZEPAK00012;PLN;11.0;237.6;akcje;ZEP PW Equity;652813.36;0.0%;;%;;%
4Q23;2023-12-30;BNP Paribas TFI S.A.;BNP_Paribas_PPK_2065;2065.0;Akcje;ASTARTA HOLDING N.V.;NL0000686509;PLN;17.0;487.9;akcje;AST PW Equity;652813.36;0.1%;;%;;%
4Q23;2023-12-30;BNP Paribas TFI S.A.;BNP_Paribas_PPK_2065;2065.0;Akcje;ALIOR BANK S.A.;PLALIOR00045;PLN;75.0;5725.5;akcje;ALR PW Equity;652813.36;0.9%;;%;;%
