teraz zrób plik csv,instytucja,fundusz,DATA_fundusz,typ_aktywa,emitent,isin,waluta,liczba_sztuk,wartosc_nominalna,wartosc_wg_ceny_nabycia,wartosc_wg_wyceny,udziaĹ‚_proc_aktywa,termin_wykupu,rodzaj_oprocentowania,oprocentowanie,rodzaj_rynku,rynek,nazwa_instrumentu,typ_instrumentu,poziom_hierarchii,TYP_aktywo_std,wartosc_wg_wyceny_num
,TFI PZU S.A.,inPZU Puls Życia 2025,2025,Subfunduszu PPK inPZU 20,25 wydzi,elonego w ramach,PPK inPZU Specjali,,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2025,2025,Funduszu Inwestycyjnego O,twarteg,o,,,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2025,2025,za okres od 1 stycznia 2024 r.,do 31 gru,dnia 2024 r.,,,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2025,2025,Zarząd TFI PZU SA:,,,,,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2025,2025,Tomasz Stadnik,Prezes Zarz,ądu,,,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2025,2025,,,,………………………………………,,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2025,2025,Tomasz Bilecki,Wiceprezes,Zarządu,,,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2025,2025,,,,………………………………………,,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2025,2025,Marcin Dobrzański,Wiceprezes,Zarządu,,,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2025,2025,,,,………………………………………,,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2025,2025,Marcin Jakubiak,Wiceprezes,Zarządu,,,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2025,2025,,,,………………………………………,,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2025,2025,Jarosław Leśniczak,Wiceprezes,Zarządu,,,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2025,2025,,,,………………………………………,,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2025,2025,Biuro Księgowości Fundu,szy TFI PZ,U SA:,,,,,,,,,,,,,,,,
